delta X,delta width (geo),delta volume (appGeo)
-0.5,-0.00598039,-1.192501190388895e-02
-4.900000000000000e-01,-5.828818676011704e-03,-1.162366222486599e-02
-4.800000000000000e-01,-5.677577669123690e-03,-1.132292045005878e-02
-4.700000000000000e-01,-5.526865873745068e-03,-1.102318550110448e-02
-4.600000000000000e-01,-5.376857299223659e-03,-1.072480400403131e-02
-4.500000000000000e-01,-5.227702706534942e-03,-1.042807653748234e-02
-4.400000000000000e-01,-5.079532371122797e-03,-1.013326309313667e-02
-4.300000000000000e-01,-4.932458501491599e-03,-9.840587856114302e-03
-4.200000000000000e-01,-4.786577359952582e-03,-9.550243397082769e-03
-4.100000000000000e-01,-4.641971125133315e-03,-9.262394354340175e-03
-4.000000000000000e-01,-4.498709530123879e-03,-8.977180672811391e-03
-3.900000000000000e-01,-4.356851305330811e-03,-8.694720457364857e-03
-3.800000000000000e-01,-4.216445451011741e-03,-8.415112489782328e-03
-3.700000000000000e-01,-4.077532361015601e-03,-8.138438451876673e-03
-3.600000000000000e-01,-3.940144816305113e-03,-7.864764891437281e-03
-3.500000000000000e-01,-3.804308864333472e-03,-7.594144962732141e-03
-3.400000000000000e-01,-3.670044598208855e-03,-7.326619969065362e-03
-3.300000000000000e-01,-3.537366847742751e-03,-7.062220731270386e-03
-3.200000000000000e-01,-3.406285792906472e-03,-6.800968802910257e-03
-3.100000000000000e-01,-3.276807508872159e-03,-6.542877550294368e-03
-3.000000000000000e-01,-3.148934450645458e-03,-6.287953113116918e-03
-2.900000000000000e-01,-3.022665884290898e-03,-6.036195259534138e-03
-2.800000000000000e-01,-2.897998270886992e-03,-5.787598147796058e-03
-2.700000000000000e-01,-2.774925608588497e-03,-5.542151005044293e-03
-2.600000000000000e-01,-2.653439737525520e-03,-5.299838732610640e-03
-2.500000000000000e-01,-2.533530611691148e-03,-5.060642446022223e-03
-2.400000000000000e-01,-2.415186541488867e-03,-4.824539956948093e-03
-2.300000000000000e-01,-2.298394410163329e-03,-4.591506203462381e-03
-2.200000000000000e-01,-2.183139866973494e-03,-4.361513634268177e-03
-2.100000000000000e-01,-2.069407499626363e-03,-4.134532551853254e-03
-2.000000000000000e-01,-1.957180988213625e-03,-3.910531419006880e-03
-1.900000000000000e-01,-1.846443242623286e-03,-3.689477132598373e-03
-1.800000000000000e-01,-1.737176525188899e-03,-3.471335268098286e-03
-1.700000000000000e-01,-1.629362560137571e-03,-3.256070297922742e-03
-1.600000000000000e-01,-1.522982631222858e-03,-3.043645786351079e-03
-1.500000000000000e-01,-1.418017668781912e-03,-2.834024563455051e-03
-1.400000000000000e-01,-1.314448327314088e-03,-2.627168880223185e-03
-1.300000000000000e-01,-1.212255054566791e-03,-2.423040546816524e-03
-1.200000000000000e-01,-1.111418153004196e-03,-2.221601055697908e-03
-1.100000000000000e-01,-1.011917834441212e-03,-2.022811691179016e-03
-1.000000000000000e-01,-9.137342685436867e-04,-1.826633626774488e-03
-9.000000000000000e-02,-8.168476258233470e-04,-1.633028011603033e-03
-8.000000000000000e-02,-7.212381156841419e-04,-1.441956046949300e-03
-7.000000000000001e-02,-6.268860200309145e-04,-1.253379053979931e-03
-6.000000000000000e-02,-5.337717228811600e-04,-1.067258533510640e-03
-5.000000000000000e-02,-4.418757363956471e-04,-8.835562186251256e-04
-4.000000000000000e-02,-3.511787236818442e-04,-7.022341208680061e-04
-3.000000000000000e-02,-2.616615187041038e-04,-5.232545706583824e-04
-2.000000000000000e-02,-1.733051435912625e-04,-3.465802525094430e-04
-1.000000000000000e-02,-8.609082360266918e-05,-1.721742355755840e-04
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,8.498565897507859e-05,1.699785405118170e-04
2.000000000000000e-02,1.688842488081210e-04,3.377970195057589e-04
3.000000000000000e-02,2.517136209478910e-04,5.034906016425644e-04
4.000000000000000e-02,3.334913763961556e-04,6.670939692905442e-04
5.000000000000000e-02,4.142348605273849e-04,8.286413115745628e-04
6.000000000000000e-02,4.939611589958037e-04,9.881663156181553e-04
7.000000000000001e-02,5.726870946261009e-04,1.145702159760509e-03
8.000000000000000e-02,6.504292251776622e-04,1.301281508531815e-03
9.000000000000000e-02,7.272038418895121e-04,1.454936509206251e-03
1.000000000000000e-01,8.030269687238079e-04,1.606698789759831e-03
1.100000000000000e-01,8.779143622288377e-04,1.756599458085040e-03
1.200000000000000e-01,9.518815119533564e-04,1.904669102318790e-03
1.300000000000000e-01,1.024943641348974e-03,2.050937792165808e-03
1.400000000000000e-01,1.097115709108420e-03,2.195435081096209e-03
1.500000000000000e-01,1.168412410882169e-03,2.338190009326002e-03
1.600000000000000e-01,1.238848181331464e-03,2.479231107479274e-03
1.700000000000000e-01,1.308437196478218e-03,2.618586400853884e-03
1.800000000000000e-01,1.377193376310260e-03,2.756283414216076e-03
1.900000000000000e-01,1.445130387607740e-03,2.892349177052500e-03
2.000000000000000e-01,1.512261646966717e-03,3.026810229222354e-03
2.100000000000000e-01,1.578600323984825e-03,3.159692626952149e-03
2.200000000000000e-01,1.644159344587059e-03,3.291021949124229e-03
2.300000000000000e-01,1.708951394472580e-03,3.420823303813547e-03
2.400000000000000e-01,1.772988922656538e-03,3.549121335032490e-03
2.500000000000000e-01,1.836284145093847e-03,3.675940229648678e-03
2.600000000000000e-01,1.898849048364903e-03,3.801303724437988e-03
2.700000000000000e-01,1.960695393413481e-03,3.925235113252157e-03
2.800000000000000e-01,2.021834719315940e-03,4.047757254263651e-03
2.900000000000000e-01,2.082278347079747e-03,4.168892577273819e-03
3.000000000000000e-01,2.142037383452422e-03,4.288663091056355e-03
