delta X,delta width (geo),delta volume (appGeo)
-0.5,0.0290745,5.899424116521335e-02
-4.900000000000000e-01,2.842865862645216e-02,5.766550588420327e-02
-4.800000000000000e-01,2.778576459501769e-02,5.634357790416522e-02
-4.700000000000000e-01,2.714575691971821e-02,5.502840595818048e-02
-4.600000000000000e-01,2.650861628431023e-02,5.371993930592867e-02
-4.500000000000000e-01,2.587432355377328e-02,5.241812772691179e-02
-4.400000000000000e-01,2.524285977215235e-02,5.112292151378095e-02
-4.300000000000000e-01,2.461420616042953e-02,4.983427146576624e-02
-4.200000000000000e-01,2.398834411442774e-02,4.855212888220772e-02
-4.100000000000000e-01,2.336525520274835e-02,4.727644555618560e-02
-4.000000000000000e-01,2.274492116472926e-02,4.600717376824814e-02
-3.900000000000000e-01,2.212732390844319e-02,4.474426628023509e-02
-3.800000000000000e-01,2.151244550871478e-02,4.348767632919492e-02
-3.700000000000000e-01,2.090026820517288e-02,4.223735762139413e-02
-3.600000000000000e-01,2.029077440032734e-02,4.099326432641948e-02
-3.500000000000000e-01,1.968394665767170e-02,3.975535107136507e-02
-3.400000000000000e-01,1.907976769981667e-02,3.852357293511188e-02
-3.300000000000000e-01,1.847822040664648e-02,3.729788544268953e-02
-3.200000000000000e-01,1.787928781350301e-02,3.607824455972386e-02
-3.100000000000000e-01,1.728295310939409e-02,3.486460668696933e-02
-3.000000000000000e-01,1.668919963522675e-02,3.365692865491776e-02
-2.900000000000000e-01,1.609801088206786e-02,3.245516771849499e-02
-2.800000000000000e-01,1.550937048942558e-02,3.125928155182955e-02
-2.700000000000000e-01,1.492326224355534e-02,3.006922824310032e-02
-2.600000000000000e-01,1.433967007579140e-02,2.888496628946480e-02
-2.500000000000000e-01,1.375857806089864e-02,2.770645459205423e-02
-2.400000000000000e-01,1.317997041544916e-02,2.653365245104977e-02
-2.300000000000000e-01,1.260383149622024e-02,2.536651956082570e-02
-2.200000000000000e-01,1.203014579861517e-02,2.420501600516611e-02
-2.100000000000000e-01,1.145889795510291e-02,2.304910225255119e-02
-2.000000000000000e-01,1.089007273368314e-02,2.189873915151064e-02
-1.900000000000000e-01,1.032365503636834e-02,2.075388792604649e-02
-1.800000000000000e-01,9.759629897690303e-03,1.961451017112026e-02
-1.700000000000000e-01,9.197982483223122e-03,1.848056784820762e-02
-1.600000000000000e-01,8.638698088128338e-03,1.735202328091412e-02
-1.500000000000000e-01,8.081762135719206e-03,1.622883915065620e-02
-1.400000000000000e-01,7.527160176044934e-03,1.511097849240550e-02
-1.300000000000000e-01,6.974877884492026e-03,1.399840469048730e-02
-1.200000000000000e-01,6.424901060406052e-03,1.289108147444784e-02
-1.100000000000000e-01,5.877215625732291e-03,1.178897291497583e-02
-1.000000000000000e-01,5.331807623671692e-03,1.069204341987917e-02
-9.000000000000000e-02,4.788663217358158e-03,9.600257730125294e-03
-8.000000000000000e-02,4.247768688550257e-03,8.513580915931573e-03
-7.000000000000001e-02,3.709110436343366e-03,7.431978372915538e-03
-6.000000000000000e-02,3.172674975895795e-03,6.355415818293908e-03
-5.000000000000000e-02,2.638448937173576e-03,5.283859287140924e-03
-4.000000000000000e-02,2.106419063711229e-03,4.217275128694187e-03
-3.000000000000000e-02,1.576572211388960e-03,3.155630002714904e-03
-2.000000000000000e-02,1.048895347224077e-03,2.098890875897208e-03
-1.000000000000000e-02,5.233755481823810e-04,1.047025018328762e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-5.212440039750188e-04,-1.042216312638899e-03
2.000000000000000e-02,-1.040369063931457e-03,-2.079655760073851e-03
3.000000000000000e-02,-1.557387674721356e-03,-3.112349893073629e-03
4.000000000000000e-02,-2.072312226979900e-03,-4.140329975993673e-03
5.000000000000000e-02,-2.585155008224538e-03,-5.163626990032810e-03
6.000000000000000e-02,-3.095928203944665e-03,-6.182271636445580e-03
7.000000000000001e-02,-3.604643898673321e-03,-7.196294339710252e-03
8.000000000000000e-02,-4.111314077048345e-03,-8.205725250656548e-03
9.000000000000000e-02,-4.615950624858645e-03,-9.210594249546511e-03
1.000000000000000e-01,-5.118565330077818e-03,-1.021093094911785e-02
1.100000000000000e-01,-5.619169883883002e-03,-1.120676469758231e-02
1.200000000000000e-01,-6.117775881662513e-03,-1.219812458158687e-02
1.300000000000000e-01,-6.614394824010272e-03,-1.318503942913340e-02
1.400000000000000e-01,-7.109038117709354e-03,-1.416753781245950e-02
1.500000000000000e-01,-7.601717076696768e-03,-1.514564805087948e-02
1.600000000000000e-01,-8.092442923026244e-03,-1.611939821359021e-02
1.700000000000000e-01,-8.581226787810592e-03,-1.708881612243751e-02
1.800000000000000e-01,-9.068079712155619e-03,-1.805392935464534e-02
1.900000000000000e-01,-9.553012648082171e-03,-1.901476524551027e-02
2.000000000000000e-01,-1.003603645943674e-02,-1.997135089105895e-02
