delta X,delta width (cla),delta volume (cla)
-0.5,-0.292893,0.000000000000000e+00
-4.900000000000000e-01,-2.858571571457151e-01,0.000000000000000e+00
-4.800000000000000e-01,-2.788897449072020e-01,0.000000000000000e+00
-4.700000000000000e-01,-2.719890110719481e-01,0.000000000000000e+00
-4.600000000000000e-01,-2.651530771650464e-01,0.000000000000000e+00
-4.500000000000000e-01,-2.583801512904337e-01,0.000000000000000e+00
-4.400000000000000e-01,-2.516685226452117e-01,0.000000000000000e+00
-4.300000000000000e-01,-2.450165564729250e-01,0.000000000000000e+00
-4.200000000000000e-01,-2.384226894136090e-01,0.000000000000000e+00
-4.100000000000000e-01,-2.318854252131392e-01,0.000000000000000e+00
-4.000000000000000e-01,-2.254033307585166e-01,0.000000000000000e+00
-3.900000000000000e-01,-2.189750324093345e-01,0.000000000000000e+00
-3.800000000000000e-01,-2.125992125988188e-01,0.000000000000000e+00
-3.700000000000000e-01,-2.062746066806227e-01,0.000000000000000e+00
-3.600000000000000e-01,-2.000000000000000e-01,0.000000000000000e+00
-3.500000000000000e-01,-1.937742251701452e-01,0.000000000000000e+00
-3.400000000000000e-01,-1.875961595364040e-01,0.000000000000000e+00
-3.300000000000000e-01,-1.814647228127549e-01,0.000000000000000e+00
-3.200000000000000e-01,-1.753788748764677e-01,0.000000000000000e+00
-3.100000000000000e-01,-1.693376137081923e-01,0.000000000000000e+00
-3.000000000000000e-01,-1.633399734659244e-01,0.000000000000000e+00
-2.900000000000000e-01,-1.573850226823641e-01,0.000000000000000e+00
-2.800000000000000e-01,-1.514718625761429e-01,0.000000000000000e+00
-2.700000000000000e-01,-1.455996254682468e-01,0.000000000000000e+00
-2.600000000000000e-01,-1.397674732957372e-01,0.000000000000000e+00
-2.500000000000000e-01,-1.339745962155613e-01,0.000000000000000e+00
-2.400000000000000e-01,-1.282202112918652e-01,0.000000000000000e+00
-2.300000000000000e-01,-1.225035612607877e-01,0.000000000000000e+00
-2.200000000000000e-01,-1.168239133672152e-01,0.000000000000000e+00
-2.100000000000000e-01,-1.111805582684410e-01,0.000000000000000e+00
-2.000000000000000e-01,-1.055728090000840e-01,0.000000000000000e+00
-1.900000000000000e-01,-9.999999999999987e-02,0.000000000000000e+00
-1.800000000000000e-01,-9.446148618625827e-02,0.000000000000000e+00
-1.700000000000000e-01,-8.895664208557008e-02,0.000000000000000e+00
-1.600000000000000e-01,-8.348486100883201e-02,0.000000000000000e+00
-1.500000000000000e-01,-7.804555427071114e-02,0.000000000000000e+00
-1.400000000000000e-01,-7.263815045042943e-02,0.000000000000000e+00
-1.300000000000000e-01,-6.726209469111832e-02,0.000000000000000e+00
-1.200000000000000e-01,-6.191684803531383e-02,0.000000000000000e+00
-1.100000000000000e-01,-5.660188679433953e-02,0.000000000000000e+00
-1.000000000000000e-01,-5.131670194948612e-02,0.000000000000000e+00
-9.000000000000000e-02,-4.606079858305412e-02,0.000000000000000e+00
-8.000000000000000e-02,-4.083369533745596e-02,0.000000000000000e+00
-7.000000000000001e-02,-3.563492390070444e-02,0.000000000000000e+00
-6.000000000000000e-02,-3.046402851673413e-02,0.000000000000000e+00
-5.000000000000000e-02,-2.532056551910356e-02,0.000000000000000e+00
-4.000000000000000e-02,-2.020410288672880e-02,0.000000000000000e+00
-3.000000000000000e-02,-1.511421982038952e-02,0.000000000000000e+00
-2.000000000000000e-02,-1.005050633883353e-02,0.000000000000000e+00
-1.000000000000000e-02,-5.012562893379702e-03,0.000000000000000e+00
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,4.987562112088950e-03,0.000000000000000e+00
2.000000000000000e-02,9.950493836207830e-03,0.000000000000000e+00
3.000000000000000e-02,1.488915650922196e-02,0.000000000000000e+00
4.000000000000000e-02,1.980390271855725e-02,0.000000000000000e+00
5.000000000000000e-02,2.469507659596015e-02,0.000000000000000e+00
6.000000000000000e-02,2.956301409869999e-02,0.000000000000000e+00
7.000000000000001e-02,3.440804327886005e-02,0.000000000000000e+00
8.000000000000000e-02,3.923048454132649e-02,0.000000000000000e+00
9.000000000000000e-02,4.403065089105529e-02,0.000000000000000e+00
1.000000000000000e-01,4.880884817015163e-02,0.000000000000000e+00
1.100000000000000e-01,5.356537528527405e-02,0.000000000000000e+00
1.200000000000000e-01,5.830052442583633e-02,0.000000000000000e+00
1.300000000000000e-01,6.301458127346482e-02,0.000000000000000e+00
1.400000000000000e-01,6.770782520313134e-02,0.000000000000000e+00
1.500000000000000e-01,7.238052947636087e-02,0.000000000000000e+00
1.600000000000000e-01,7.703296142690097e-02,0.000000000000000e+00
1.700000000000000e-01,8.166538263919687e-02,0.000000000000000e+00
1.800000000000000e-01,8.627804912002168e-02,0.000000000000000e+00
1.900000000000000e-01,9.087121146357147e-02,0.000000000000000e+00
2.000000000000000e-01,9.544511501033237e-02,0.000000000000000e+00
2.100000000000000e-01,1.000000000000001e-01,0.000000000000000e+00
2.200000000000000e-01,1.045361017187261e-01,0.000000000000000e+00
2.300000000000000e-01,1.090536506409419e-01,0.000000000000000e+00
2.400000000000000e-01,1.135528725660044e-01,0.000000000000000e+00
2.500000000000000e-01,1.180339887498949e-01,0.000000000000000e+00
2.600000000000000e-01,1.224972160321827e-01,0.000000000000000e+00
2.700000000000000e-01,1.269427669584648e-01,0.000000000000000e+00
2.800000000000000e-01,1.313708498984762e-01,0.000000000000000e+00
2.900000000000000e-01,1.357816691600549e-01,0.000000000000000e+00
3.000000000000000e-01,1.401754250991383e-01,0.000000000000000e+00
