delta X,delta width (geo),delta volume (geo)
-0.5,1,1.000000000000000e+00
-4.900000000000000e-01,9.607843137254908e-01,9.607843137254908e-01
-4.800000000000000e-01,9.230769230769236e-01,9.230769230769234e-01
-4.700000000000000e-01,8.867924528301885e-01,8.867924528301885e-01
-4.600000000000000e-01,8.518518518518519e-01,8.518518518518519e-01
-4.500000000000000e-01,8.181818181818188e-01,8.181818181818186e-01
-4.400000000000000e-01,7.857142857142860e-01,7.857142857142860e-01
-4.300000000000000e-01,7.543859649122810e-01,7.543859649122810e-01
-4.200000000000000e-01,7.241379310344829e-01,7.241379310344829e-01
-4.100000000000000e-01,6.949152542372889e-01,6.949152542372889e-01
-4.000000000000000e-01,6.666666666666670e-01,6.666666666666670e-01
-3.900000000000000e-01,6.393442622950822e-01,6.393442622950822e-01
-3.800000000000000e-01,6.129032258064520e-01,6.129032258064520e-01
-3.700000000000000e-01,5.873015873015874e-01,5.873015873015874e-01
-3.600000000000000e-01,5.625000000000004e-01,5.625000000000004e-01
-3.500000000000000e-01,5.384615384615390e-01,5.384615384615388e-01
-3.400000000000000e-01,5.151515151515154e-01,5.151515151515154e-01
-3.300000000000000e-01,4.925373134328361e-01,4.925373134328361e-01
-3.200000000000000e-01,4.705882352941182e-01,4.705882352941182e-01
-3.100000000000000e-01,4.492753623188410e-01,4.492753623188410e-01
-3.000000000000000e-01,4.285714285714288e-01,4.285714285714288e-01
-2.900000000000000e-01,4.084507042253525e-01,4.084507042253525e-01
-2.800000000000000e-01,3.888888888888893e-01,3.888888888888893e-01
-2.700000000000000e-01,3.698630136986305e-01,3.698630136986305e-01
-2.600000000000000e-01,3.513513513513515e-01,3.513513513513515e-01
-2.500000000000000e-01,3.333333333333335e-01,3.333333333333337e-01
-2.400000000000000e-01,3.157894736842108e-01,3.157894736842108e-01
-2.300000000000000e-01,2.987012987012989e-01,2.987012987012989e-01
-2.200000000000000e-01,2.820512820512822e-01,2.820512820512819e-01
-2.100000000000000e-01,2.658227848101269e-01,2.658227848101269e-01
-2.000000000000000e-01,2.500000000000002e-01,2.500000000000002e-01
-1.900000000000000e-01,2.345679012345678e-01,2.345679012345678e-01
-1.800000000000000e-01,2.195121951219512e-01,2.195121951219514e-01
-1.700000000000000e-01,2.048192771084341e-01,2.048192771084341e-01
-1.600000000000000e-01,1.904761904761905e-01,1.904761904761905e-01
-1.500000000000000e-01,1.764705882352942e-01,1.764705882352942e-01
-1.400000000000000e-01,1.627906976744187e-01,1.627906976744187e-01
-1.300000000000000e-01,1.494252873563220e-01,1.494252873563220e-01
-1.200000000000000e-01,1.363636363636367e-01,1.363636363636367e-01
-1.100000000000000e-01,1.235955056179776e-01,1.235955056179776e-01
-1.000000000000000e-01,1.111111111111112e-01,1.111111111111112e-01
-9.000000000000000e-02,9.890109890109922e-02,9.890109890109922e-02
-8.000000000000000e-02,8.695652173913060e-02,8.695652173913060e-02
-7.000000000000001e-02,7.526881720430145e-02,7.526881720430145e-02
-6.000000000000000e-02,6.382978723404298e-02,6.382978723404298e-02
-5.000000000000000e-02,5.263157894736858e-02,5.263157894736858e-02
-4.000000000000000e-02,4.166666666666696e-02,4.166666666666696e-02
-3.000000000000000e-02,3.092783505154673e-02,3.092783505154673e-02
-2.000000000000000e-02,2.040816326530615e-02,2.040816326530615e-02
-1.000000000000000e-02,1.010101010101017e-02,1.010101010101017e-02
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-9.900990099009688e-03,-9.900990099009688e-03
2.000000000000000e-02,-1.960784313725461e-02,-1.960784313725461e-02
3.000000000000000e-02,-2.912621359223300e-02,-2.912621359223300e-02
4.000000000000000e-02,-3.846153846153821e-02,-3.846153846153832e-02
5.000000000000000e-02,-4.761904761904734e-02,-4.761904761904734e-02
6.000000000000000e-02,-5.660377358490576e-02,-5.660377358490576e-02
7.000000000000001e-02,-6.542056074766356e-02,-6.542056074766356e-02
8.000000000000000e-02,-7.407407407407407e-02,-7.407407407407407e-02
9.000000000000000e-02,-8.256880733944938e-02,-8.256880733944949e-02
1.000000000000000e-01,-9.090909090909061e-02,-9.090909090909072e-02
1.100000000000000e-01,-9.909909909909920e-02,-9.909909909909909e-02
1.200000000000000e-01,-1.071428571428570e-01,-1.071428571428570e-01
1.300000000000000e-01,-1.150442477876105e-01,-1.150442477876105e-01
1.400000000000000e-01,-1.228070175438595e-01,-1.228070175438595e-01
1.500000000000000e-01,-1.304347826086956e-01,-1.304347826086956e-01
1.600000000000000e-01,-1.379310344827585e-01,-1.379310344827585e-01
1.700000000000000e-01,-1.452991452991451e-01,-1.452991452991450e-01
1.800000000000000e-01,-1.525423728813555e-01,-1.525423728813555e-01
1.900000000000000e-01,-1.596638655462183e-01,-1.596638655462183e-01
2.000000000000000e-01,-1.666666666666665e-01,-1.666666666666665e-01
2.100000000000000e-01,-1.735537190082642e-01,-1.735537190082642e-01
2.200000000000000e-01,-1.803278688524589e-01,-1.803278688524589e-01
2.300000000000000e-01,-1.869918699186990e-01,-1.869918699186990e-01
2.400000000000000e-01,-1.935483870967740e-01,-1.935483870967740e-01
2.500000000000000e-01,-1.999999999999998e-01,-1.999999999999998e-01
2.600000000000000e-01,-2.063492063492063e-01,-2.063492063492063e-01
2.700000000000000e-01,-2.125984251968502e-01,-2.125984251968503e-01
2.800000000000000e-01,-2.187499999999998e-01,-2.187499999999998e-01
2.900000000000000e-01,-2.248062015503876e-01,-2.248062015503876e-01
3.000000000000000e-01,-2.307692307692305e-01,-2.307692307692306e-01
3.100000000000000e-01,-2.366412213740456e-01,-2.366412213740458e-01
3.200000000000000e-01,-2.424242424242423e-01,-2.424242424242424e-01
3.300000000000000e-01,-2.481203007518795e-01,-2.481203007518795e-01
3.400000000000000e-01,-2.537313432835820e-01,-2.537313432835820e-01
3.500000000000000e-01,-2.592592592592591e-01,-2.592592592592592e-01
3.600000000000000e-01,-2.647058823529409e-01,-2.647058823529409e-01
3.700000000000000e-01,-2.700729927007299e-01,-2.700729927007299e-01
3.800000000000000e-01,-2.753623188405795e-01,-2.753623188405795e-01
3.900000000000000e-01,-2.805755395683454e-01,-2.805755395683454e-01
4.000000000000000e-01,-2.857142857142856e-01,-2.857142857142856e-01
4.100000000000000e-01,-2.907801418439716e-01,-2.907801418439716e-01
4.200000000000000e-01,-2.957746478873238e-01,-2.957746478873238e-01
4.300000000000000e-01,-3.006993006993005e-01,-3.006993006993005e-01
4.400000000000000e-01,-3.055555555555554e-01,-3.055555555555554e-01
4.500000000000000e-01,-3.103448275862067e-01,-3.103448275862067e-01
4.600000000000000e-01,-3.150684931506847e-01,-3.150684931506847e-01
4.700000000000000e-01,-3.197278911564625e-01,-3.197278911564626e-01
4.800000000000000e-01,-3.243243243243242e-01,-3.243243243243242e-01
4.900000000000000e-01,-3.288590604026844e-01,-3.288590604026844e-01
5.000000000000000e-01,-3.333333333333333e-01,-3.333333333333331e-01
