delta X,delta width (geo),delta volume (geo)
-0.5,-0.5,-5.000000000000000e-01
-4.900000000000000e-01,-4.900000000000001e-01,-4.900000000000001e-01
-4.800000000000000e-01,-4.800000000000000e-01,-4.800000000000000e-01
-4.700000000000000e-01,-4.700000000000000e-01,-4.700000000000001e-01
-4.600000000000000e-01,-4.600000000000000e-01,-4.600000000000000e-01
-4.500000000000000e-01,-4.500000000000001e-01,-4.500000000000001e-01
-4.400000000000000e-01,-4.399999999999999e-01,-4.399999999999999e-01
-4.300000000000000e-01,-4.299999999999999e-01,-4.299999999999999e-01
-4.200000000000000e-01,-4.199999999999999e-01,-4.199999999999999e-01
-4.100000000000000e-01,-4.100000000000000e-01,-4.100000000000000e-01
-4.000000000000000e-01,-3.999999999999999e-01,-3.999999999999999e-01
-3.900000000000000e-01,-3.900000000000000e-01,-3.900000000000000e-01
-3.800000000000000e-01,-3.800000000000000e-01,-3.800000000000000e-01
-3.700000000000000e-01,-3.700000000000000e-01,-3.700000000000000e-01
-3.600000000000000e-01,-3.599999999999999e-01,-3.599999999999999e-01
-3.500000000000000e-01,-3.500000000000002e-01,-3.500000000000003e-01
-3.400000000000000e-01,-3.400000000000000e-01,-3.400000000000000e-01
-3.300000000000000e-01,-3.300000000000001e-01,-3.300000000000002e-01
-3.200000000000000e-01,-3.200000000000001e-01,-3.200000000000000e-01
-3.100000000000000e-01,-3.099999999999999e-01,-3.099999999999999e-01
-3.000000000000000e-01,-3.000000000000002e-01,-3.000000000000002e-01
-2.900000000000000e-01,-2.900000000000000e-01,-2.900000000000001e-01
-2.800000000000000e-01,-2.800000000000000e-01,-2.800000000000001e-01
-2.700000000000000e-01,-2.699999999999999e-01,-2.699999999999999e-01
-2.600000000000000e-01,-2.599999999999999e-01,-2.599999999999999e-01
-2.500000000000000e-01,-2.500000000000001e-01,-2.500000000000001e-01
-2.400000000000000e-01,-2.400000000000000e-01,-2.400000000000001e-01
-2.300000000000000e-01,-2.300000000000001e-01,-2.300000000000001e-01
-2.200000000000000e-01,-2.200000000000000e-01,-2.200000000000001e-01
-2.100000000000000e-01,-2.100000000000000e-01,-2.099999999999999e-01
-2.000000000000000e-01,-1.999999999999998e-01,-1.999999999999998e-01
-1.900000000000000e-01,-1.900000000000001e-01,-1.900000000000001e-01
-1.800000000000000e-01,-1.799999999999999e-01,-1.800000000000000e-01
-1.700000000000000e-01,-1.700000000000000e-01,-1.700000000000002e-01
-1.600000000000000e-01,-1.600000000000001e-01,-1.600000000000003e-01
-1.500000000000000e-01,-1.500000000000001e-01,-1.500000000000001e-01
-1.400000000000000e-01,-1.399999999999999e-01,-1.400000000000000e-01
