delta X,delta width (geo),delta volume (geo)
-0.5,-0.516431,-5.164313848660074e-01
-4.900000000000000e-01,-5.060798550329164e-01,-5.060798550329164e-01
-4.800000000000000e-01,-4.957302447968637e-01,-4.957302447968637e-01
-4.700000000000000e-01,-4.853824302413597e-01,-4.853824302413597e-01
-4.600000000000000e-01,-4.750362979285078e-01,-4.750362979285079e-01
-4.500000000000000e-01,-4.646917438106185e-01,-4.646917438106185e-01
-4.400000000000000e-01,-4.543486722751531e-01,-4.543486722751531e-01
-4.300000000000000e-01,-4.440069953042572e-01,-4.440069953042572e-01
-4.200000000000000e-01,-4.336666317331260e-01,-4.336666317331260e-01
-4.100000000000000e-01,-4.233275065938468e-01,-4.233275065938468e-01
-4.000000000000000e-01,-4.129895505334287e-01,-4.129895505334288e-01
-3.900000000000000e-01,-4.026526992963789e-01,-4.026526992963789e-01
-3.800000000000000e-01,-3.923168932636073e-01,-3.923168932636073e-01
-3.700000000000000e-01,-3.819820770406144e-01,-3.819820770406144e-01
-3.600000000000000e-01,-3.716481990889126e-01,-3.716481990889126e-01
-3.500000000000000e-01,-3.613152113954607e-01,-3.613152113954609e-01
-3.400000000000000e-01,-3.509830691756105e-01,-3.509830691756104e-01
-3.300000000000000e-01,-3.406517306056516e-01,-3.406517306056516e-01
-3.200000000000000e-01,-3.303211565815730e-01,-3.303211565815730e-01
-3.100000000000000e-01,-3.199913105010741e-01,-3.199913105010741e-01
-3.000000000000000e-01,-3.096621580662549e-01,-3.096621580662549e-01
-2.900000000000000e-01,-2.993336671047301e-01,-2.993336671047301e-01
-2.800000000000000e-01,-2.890058074071755e-01,-2.890058074071754e-01
-2.700000000000000e-01,-2.786785505795838e-01,-2.786785505795838e-01
-2.600000000000000e-01,-2.683518699086841e-01,-2.683518699086841e-01
-2.500000000000000e-01,-2.580257402391827e-01,-2.580257402391827e-01
-2.400000000000000e-01,-2.477001378616257e-01,-2.477001378616256e-01
-2.300000000000000e-01,-2.373750404098233e-01,-2.373750404098234e-01
