delta X,delta width (geo),delta volume (geo)
-0.5,-0.414596,-6.573026528646755e-01
-4.900000000000000e-01,-4.058758415239054e-01,-6.470164843150725e-01
-4.800000000000000e-01,-3.971727554094904e-01,-6.365993131794140e-01
-4.700000000000000e-01,-3.884871653648733e-01,-6.260520530765121e-01
-4.600000000000000e-01,-3.798190713900541e-01,-6.153756157885052e-01
-4.500000000000000e-01,-3.711684734850330e-01,-6.045709112608564e-01
-4.400000000000000e-01,-3.625353716498098e-01,-5.936388476023537e-01
-4.300000000000000e-01,-3.539197658843846e-01,-5.825803310851116e-01
-4.200000000000000e-01,-3.453216561887573e-01,-5.713962661445684e-01
-4.100000000000000e-01,-3.367410425629282e-01,-5.600875553794886e-01
-4.000000000000000e-01,-3.281779250068970e-01,-5.486550995519615e-01
-3.900000000000000e-01,-3.196323035206637e-01,-5.370997975874019e-01
-3.800000000000000e-01,-3.111041781042285e-01,-5.254225465745497e-01
-3.700000000000000e-01,-3.025935487575913e-01,-5.136242417654699e-01
-3.600000000000000e-01,-2.941004154807519e-01,-5.017057765755530e-01
-3.500000000000000e-01,-2.856247782737108e-01,-4.896680425835152e-01
-3.400000000000000e-01,-2.771666371364675e-01,-4.775119295313969e-01
-3.300000000000000e-01,-2.687259920690221e-01,-4.652383253245642e-01
-3.200000000000000e-01,-2.603028430713750e-01,-4.528481160317090e-01
-3.100000000000000e-01,-2.518971901435256e-01,-4.403421858848477e-01
-3.000000000000000e-01,-2.435090332854744e-01,-4.277214172793224e-01
-2.900000000000000e-01,-2.351383724972209e-01,-4.149866907738001e-01
-2.800000000000000e-01,-2.267852077787657e-01,-4.021388850902734e-01
-2.700000000000000e-01,-2.184495391301083e-01,-3.891788771140599e-01
-2.600000000000000e-01,-2.101313665512489e-01,-3.761075418938026e-01
-2.500000000000000e-01,-2.018306900421875e-01,-3.629257526414694e-01
-2.400000000000000e-01,-1.935475096029241e-01,-3.496343807323542e-01
-2.300000000000000e-01,-1.852818252334586e-01,-3.362342957050755e-01
-2.200000000000000e-01,-1.770336369337914e-01,-3.227263652615773e-01
-2.100000000000000e-01,-1.688029447039220e-01,-3.091114552671286e-01
-2.000000000000000e-01,-1.605897485438504e-01,-2.953904297503238e-01
-1.900000000000000e-01,-1.523940484535770e-01,-2.815641509030828e-01
-1.800000000000000e-01,-1.442158444331015e-01,-2.676334790806507e-01
-1.700000000000000e-01,-1.360551364824242e-01,-2.535992728015973e-01
-1.600000000000000e-01,-1.279119246015448e-01,-2.394623887478183e-01
-1.500000000000000e-01,-1.197862087904632e-01,-2.252236817645341e-01
-1.400000000000000e-01,-1.116779890491798e-01,-2.108840048602910e-01
-1.300000000000000e-01,-1.035872653776942e-01,-1.964442092069596e-01
-1.200000000000000e-01,-9.551403777600675e-02,-1.819051441397371e-01
-1.100000000000000e-01,-8.745830624411732e-02,-1.672676571571449e-01
-1.000000000000000e-01,-7.942007078202573e-02,-1.525325939210297e-01
-9.000000000000000e-02,-7.139933138973209e-02,-1.377007982565636e-01
-8.000000000000000e-02,-6.339608806723651e-02,-1.227731121522444e-01
-7.000000000000001e-02,-5.541034081453911e-02,-1.077503757598949e-01
-6.000000000000000e-02,-4.744208963163965e-02,-9.263342739466285e-02
-5.000000000000000e-02,-3.949133451853792e-02,-7.742310353502091e-02
-4.000000000000000e-02,-3.155807547523437e-02,-6.212023882276807e-02
-3.000000000000000e-02,-2.364231250172877e-02,-4.672566606302808e-02
-2.000000000000000e-02,-1.574404559802123e-02,-3.124021622424988e-02
-1.000000000000000e-02,-7.863274764111416e-03,-1.566471843820716e-02
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,7.845778694313799e-03,1.575311363194776e-02
2.000000000000000e-02,1.567406131882931e-02,3.159379883588520e-02
3.000000000000000e-02,2.348484787354699e-02,4.752123382673767e-02
4.000000000000000e-02,3.127813835846682e-02,6.353459865610489e-02
5.000000000000000e-02,3.906074053101016e-02,7.964722251285128e-02
6.000000000000000e-02,4.684514720795896e-02,9.588476223285336e-02
7.000000000000001e-02,5.463157274508035e-02,1.122477542307618e-01
8.000000000000000e-02,6.241996106292480e-02,1.287361736649466e-01
9.000000000000000e-02,7.021025814000348e-02,1.453499966280931e-01
1.000000000000000e-01,7.800241191924839e-02,1.620892001037166e-01
