delta X,delta width (geo),delta volume (geo)
-0.5,1.03124,1.031244901818441e+00
-4.900000000000000e-01,9.908133062516455e-01,9.908133062516455e-01
-4.800000000000000e-01,9.519364077091916e-01,9.519364077091916e-01
-4.700000000000000e-01,9.145262038115201e-01,9.145262038115201e-01
-4.600000000000000e-01,8.785012108718526e-01,8.785012108718526e-01
-4.500000000000000e-01,8.437858712877466e-01,8.437858712877464e-01
-4.400000000000000e-01,8.103100244264150e-01,8.103100244264150e-01
-4.300000000000000e-01,7.780084332063251e-01,7.780084332063251e-01
-4.200000000000000e-01,7.468203596531187e-01,7.468203596531187e-01
-4.100000000000000e-01,7.166891836193345e-01,7.166891836193348e-01
-4.000000000000000e-01,6.875620596321570e-01,6.875620596321568e-01
-3.900000000000000e-01,6.593896074938503e-01,6.593896074938503e-01
-3.800000000000000e-01,6.321256328240807e-01,6.321256328240807e-01
-3.700000000000000e-01,6.057268742172588e-01,6.057268742172586e-01
-3.600000000000000e-01,5.801527741038779e-01,5.801527741038779e-01
-3.500000000000000e-01,5.553652707631191e-01,5.553652707631189e-01
-3.400000000000000e-01,5.313286092433931e-01,5.313286092433933e-01
-3.300000000000000e-01,5.080091692153810e-01,5.080091692153808e-01
-3.200000000000000e-01,4.853753080145007e-01,4.853753080145007e-01
-3.100000000000000e-01,4.633972173318655e-01,4.633972173318655e-01
-3.000000000000000e-01,4.420467921888676e-01,4.420467921888678e-01
-2.900000000000000e-01,4.212975109843353e-01,4.212975109843353e-01
-2.800000000000000e-01,4.011243255377597e-01,4.011243255377597e-01
-2.700000000000000e-01,3.815035601700625e-01,3.815035601700623e-01
-2.600000000000000e-01,3.624128189670077e-01,3.624128189670077e-01
-2.500000000000000e-01,3.438309004615381e-01,3.438309004615381e-01
-2.400000000000000e-01,3.257377190517152e-01,3.257377190517150e-01
-2.300000000000000e-01,3.081142325419413e-01,3.081142325419413e-01
-2.200000000000000e-01,2.909423752579290e-01,2.909423752579288e-01
-2.100000000000000e-01,2.742049962415483e-01,2.742049962415483e-01
-2.000000000000000e-01,2.578858020810615e-01,2.578858020810613e-01
