delta X,delta width (hydro),delta volume (hydro)
-0.5,-0.217645,-2.176448598547671e-01
-4.900000000000000e-01,-2.130093089672751e-01,-2.130093089672750e-01
-4.800000000000000e-01,-2.083879435293992e-01,-2.083879435293992e-01
-4.700000000000000e-01,-2.037805496010616e-01,-2.037805496010617e-01
-4.600000000000000e-01,-1.991869186928348e-01,-1.991869186928348e-01
-4.500000000000000e-01,-1.946068475723347e-01,-1.946068475723346e-01
-4.400000000000000e-01,-1.900401380793666e-01,-1.900401380793666e-01
-4.300000000000000e-01,-1.854865969493914e-01,-1.854865969493914e-01
-4.200000000000000e-01,-1.809460356448019e-01,-1.809460356448019e-01
-4.100000000000000e-01,-1.764182701936406e-01,-1.764182701936406e-01
-4.000000000000000e-01,-1.719031210353201e-01,-1.719031210353201e-01
-3.900000000000000e-01,-1.674004128730237e-01,-1.674004128730238e-01
-3.800000000000000e-01,-1.629099745323727e-01,-1.629099745323727e-01
-3.700000000000000e-01,-1.584316388261158e-01,-1.584316388261158e-01
-3.600000000000000e-01,-1.539652424244488e-01,-1.539652424244486e-01
-3.500000000000000e-01,-1.495106257307567e-01,-1.495106257307568e-01
-3.400000000000000e-01,-1.450676327624419e-01,-1.450676327624419e-01
-3.300000000000000e-01,-1.406361110366100e-01,-1.406361110366100e-01
-3.200000000000000e-01,-1.362159114603994e-01,-1.362159114603994e-01
-3.100000000000000e-01,-1.318068882256720e-01,-1.318068882256720e-01
-3.000000000000000e-01,-1.274088987079058e-01,-1.274088987079058e-01
-2.900000000000000e-01,-1.230218033690492e-01,-1.230218033690492e-01
-2.800000000000000e-01,-1.186454656641670e-01,-1.186454656641670e-01
-2.700000000000000e-01,-1.142797519516977e-01,-1.142797519516977e-01
-2.600000000000000e-01,-1.099245314071555e-01,-1.099245314071555e-01
-2.500000000000000e-01,-1.055796759400913e-01,-1.055796759400912e-01
-2.400000000000000e-01,-1.012450601142090e-01,-1.012450601142089e-01
-2.300000000000000e-01,-9.692056107043956e-02,-9.692056107043956e-02
-2.200000000000000e-01,-9.260605845289482e-02,-9.260605845289493e-02
-2.100000000000000e-01,-8.830143433751292e-02,-8.830143433751292e-02
-2.000000000000000e-01,-8.400657316331994e-02,-8.400657316332005e-02
-1.900000000000000e-01,-7.972136166617982e-02,-7.972136166617994e-02
-1.800000000000000e-01,-7.544568881490987e-02,-7.544568881490987e-02
-1.700000000000000e-01,-7.117944574968005e-02,-7.117944574968005e-02
-1.600000000000000e-01,-6.692252572257062e-02,-6.692252572257051e-02
-1.500000000000000e-01,-6.267482404022851e-02,-6.267482404022851e-02
-1.400000000000000e-01,-5.843623800851283e-02,-5.843623800851272e-02
-1.300000000000000e-01,-5.420666687903586e-02,-5.420666687903586e-02
-1.200000000000000e-01,-4.998601179754447e-02,-4.998601179754447e-02
-1.100000000000000e-01,-4.577417575405662e-02,-4.577417575405662e-02
-1.000000000000000e-01,-4.157106353467932e-02,-4.157106353467932e-02
-9.000000000000000e-02,-3.737658167501134e-02,-3.737658167501123e-02
-8.000000000000000e-02,-3.319063841513747e-02,-3.319063841513736e-02
-7.000000000000001e-02,-2.901314365606977e-02,-2.901314365606977e-02
-6.000000000000000e-02,-2.484400891762906e-02,-2.484400891762906e-02
-5.000000000000000e-02,-2.068314729769194e-02,-2.068314729769205e-02
-4.000000000000000e-02,-1.653047343274905e-02,-1.653047343274894e-02
-3.000000000000000e-02,-1.238590345973367e-02,-1.238590345973367e-02
-2.000000000000000e-02,-8.249354979048995e-03,-8.249354979048884e-03
-1.000000000000000e-02,-4.120747018778181e-03,-4.120747018778070e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,4.112964296796973e-03,4.112964296796973e-03
2.000000000000000e-02,8.218222764282856e-03,8.218222764282856e-03
3.000000000000000e-02,1.231585099984578e-02,1.231585099984578e-02
4.000000000000000e-02,1.640592333618662e-02,1.640592333618685e-02
5.000000000000000e-02,2.048851287098619e-02,2.048851287098596e-02
6.000000000000000e-02,2.456369149569615e-02,2.456369149569615e-02
7.000000000000001e-02,2.863152992345408e-02,2.863152992345408e-02
8.000000000000000e-02,3.269209771616999e-02,3.269209771616999e-02
9.000000000000000e-02,3.674546331083195e-02,3.674546331083195e-02
1.000000000000000e-01,4.079169404501637e-02,4.079169404501637e-02
1.100000000000000e-01,4.483085618167970e-02,4.483085618167970e-02
1.200000000000000e-01,4.886301493321588e-02,4.886301493321588e-02
1.300000000000000e-01,5.288823448484203e-02,5.288823448484203e-02
1.400000000000000e-01,5.690657801729149e-02,5.690657801729149e-02
1.500000000000000e-01,6.091810772888673e-02,6.091810772888673e-02
1.600000000000000e-01,6.492288485698428e-02,6.492288485698450e-02
1.700000000000000e-01,6.892096969881178e-02,6.892096969881178e-02
1.800000000000000e-01,7.291242163172496e-02,7.291242163172518e-02
1.900000000000000e-01,7.689729913292309e-02,7.689729913292331e-02
2.000000000000000e-01,8.087565979861022e-02,8.087565979861022e-02
2.100000000000000e-01,8.484756036261154e-02,8.484756036261176e-02
2.200000000000000e-01,8.881305671453088e-02,8.881305671453088e-02
2.300000000000000e-01,9.277220391738861e-02,9.277220391738861e-02
