delta X,delta width (hydro),delta volume (hydro)
-0.5,-0.309032,-3.090316735594693e-01
-4.900000000000000e-01,-3.024023077626390e-01,-3.024023077626389e-01
-4.800000000000000e-01,-2.958012776916292e-01,-2.958012776916291e-01
-4.700000000000000e-01,-2.892275846780177e-01,-2.892275846780177e-01
-4.600000000000000e-01,-2.826802814898476e-01,-2.826802814898476e-01
-4.500000000000000e-01,-2.761584688223991e-01,-2.761584688223991e-01
-4.400000000000000e-01,-2.696612920864908e-01,-2.696612920864908e-01
-4.300000000000000e-01,-2.631879384642820e-01,-2.631879384642820e-01
-4.200000000000000e-01,-2.567376342060669e-01,-2.567376342060669e-01
-4.100000000000000e-01,-2.503096421445180e-01,-2.503096421445181e-01
-4.000000000000000e-01,-2.439032594055999e-01,-2.439032594055998e-01
-3.900000000000000e-01,-2.375178152975629e-01,-2.375178152975629e-01
-3.800000000000000e-01,-2.311526693615394e-01,-2.311526693615394e-01
-3.700000000000000e-01,-2.248072095689844e-01,-2.248072095689843e-01
-3.600000000000000e-01,-2.184808506527615e-01,-2.184808506527615e-01
-3.500000000000000e-01,-2.121730325600896e-01,-2.121730325600896e-01
-3.400000000000000e-01,-2.058832190167122e-01,-2.058832190167124e-01
-3.300000000000000e-01,-1.996108961927562e-01,-1.996108961927562e-01
-3.200000000000000e-01,-1.933555714617063e-01,-1.933555714617063e-01
-3.100000000000000e-01,-1.871167722447155e-01,-1.871167722447155e-01
-3.000000000000000e-01,-1.808940449332825e-01,-1.808940449332825e-01
-2.900000000000000e-01,-1.746869538839129e-01,-1.746869538839129e-01
-2.800000000000000e-01,-1.684950804790730e-01,-1.684950804790730e-01
-2.700000000000000e-01,-1.623180222491719e-01,-1.623180222491718e-01
-2.600000000000000e-01,-1.561553920508700e-01,-1.561553920508700e-01
-2.500000000000000e-01,-1.500068172973898e-01,-1.500068172973898e-01
-2.400000000000000e-01,-1.438719392368960e-01,-1.438719392368960e-01
-2.300000000000000e-01,-1.377504122753627e-01,-1.377504122753628e-01
-2.200000000000000e-01,-1.316419033406545e-01,-1.316419033406545e-01
-2.100000000000000e-01,-1.255460912848360e-01,-1.255460912848360e-01
-2.000000000000000e-01,-1.194626663219339e-01,-1.194626663219339e-01
-1.900000000000000e-01,-1.133913294986808e-01,-1.133913294986808e-01
-1.800000000000000e-01,-1.073317921959073e-01,-1.073317921959073e-01
-1.700000000000000e-01,-1.012837756584473e-01,-1.012837756584473e-01
-1.600000000000000e-01,-9.524701055165763e-02,-9.524701055165763e-02
-1.500000000000000e-01,-8.922123654269809e-02,-8.922123654269820e-02
-1.400000000000000e-01,-8.320620190495009e-02,-8.320620190495009e-02
-1.300000000000000e-01,-7.720166314404975e-02,-7.720166314404975e-02
-1.200000000000000e-01,-7.120738464410048e-02,-7.120738464410048e-02
-1.100000000000000e-01,-6.522313833279969e-02,-6.522313833279958e-02
-1.000000000000000e-01,-5.924870336422827e-02,-5.924870336422827e-02
-9.000000000000000e-02,-5.328386581823030e-02,-5.328386581823030e-02
-8.000000000000000e-02,-4.732841841531765e-02,-4.732841841531765e-02
-7.000000000000001e-02,-4.138216024616337e-02,-4.138216024616326e-02
-6.000000000000000e-02,-3.544489651477745e-02,-3.544489651477734e-02
-5.000000000000000e-02,-2.951643829453332e-02,-2.951643829453321e-02
-4.000000000000000e-02,-2.359660229629756e-02,-2.359660229629745e-02
-3.000000000000000e-02,-1.768521064793627e-02,-1.768521064793627e-02
-2.000000000000000e-02,-1.178209068451042e-02,-1.178209068451042e-02
-1.000000000000000e-02,-5.887074748579857e-03,-5.887074748579746e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,5.879291765304995e-03,5.879291765304995e-03
2.000000000000000e-02,1.175095428812001e-02,1.175095428812001e-02
3.000000000000000e-02,1.761513701070938e-02,1.761513701070938e-02
4.000000000000000e-02,2.347198523405614e-02,2.347198523405614e-02
5.000000000000000e-02,2.932164026795903e-02,2.932164026795903e-02
6.000000000000000e-02,3.516423957437342e-02,3.516423957437320e-02
7.000000000000001e-02,4.099991690438509e-02,4.099991690438509e-02
8.000000000000000e-02,4.682880242911414e-02,4.682880242911414e-02
9.000000000000000e-02,5.265102286491707e-02,5.265102286491730e-02
1.000000000000000e-01,5.846670159314238e-02,5.846670159314238e-02
1.100000000000000e-01,6.427595877473702e-02,6.427595877473702e-02
1.200000000000000e-01,7.007891145999201e-02,7.007891145999201e-02
1.300000000000000e-01,7.587567369363057e-02,7.587567369363057e-02
1.400000000000000e-01,8.166635661550559e-02,8.166635661550559e-02
1.500000000000000e-01,8.745106855712126e-02,8.745106855712126e-02
1.600000000000000e-01,9.322991513417178e-02,9.322991513417178e-02
1.700000000000000e-01,9.900299933530321e-02,9.900299933530321e-02
1.800000000000000e-01,1.047704216072936e-01,1.047704216072936e-01
1.900000000000000e-01,1.105322799367983e-01,1.105322799367985e-01
2.000000000000000e-01,1.162886699288443e-01,1.162886699288446e-01
2.100000000000000e-01,1.220396848822325e-01,1.220396848822325e-01
2.200000000000000e-01,1.277854158619705e-01,1.277854158619705e-01
2.300000000000000e-01,1.335259517688907e-01,1.335259517688907e-01
2.400000000000000e-01,1.392613794066027e-01,1.392613794066027e-01
2.500000000000000e-01,1.449917835458507e-01,1.449917835458507e-01
2.600000000000000e-01,1.507172469864533e-01,1.507172469864533e-01
2.700000000000000e-01,1.564378506168991e-01,1.564378506168991e-01
2.800000000000000e-01,1.621536734717057e-01,1.621536734717060e-01
2.900000000000000e-01,1.678647927866646e-01,1.678647927866646e-01
3.000000000000000e-01,1.735712840520285e-01,1.735712840520285e-01
3.100000000000000e-01,1.792732210637895e-01,1.792732210637895e-01
3.200000000000000e-01,1.849706759730481e-01,1.849706759730481e-01
3.300000000000000e-01,1.906637193336420e-01,1.906637193336420e-01
3.400000000000000e-01,1.963524201480542e-01,1.963524201480542e-01
3.500000000000000e-01,2.020368459116901e-01,2.020368459116901e-01
3.600000000000000e-01,2.077170626555884e-01,2.077170626555882e-01
3.700000000000000e-01,2.133931349876579e-01,2.133931349876581e-01
3.800000000000000e-01,2.190651261324510e-01,2.190651261324510e-01
3.900000000000000e-01,2.247330979695839e-01,2.247330979695839e-01
4.000000000000000e-01,2.303971110708263e-01,2.303971110708263e-01
4.100000000000000e-01,2.360572247359403e-01,2.360572247359403e-01
4.200000000000000e-01,2.417134970272974e-01,2.417134970272974e-01
4.300000000000000e-01,2.473659848033329e-01,2.473659848033329e-01
4.400000000000000e-01,2.530147437508901e-01,2.530147437508901e-01
4.500000000000000e-01,2.586598284164807e-01,2.586598284164807e-01
4.600000000000000e-01,2.643012922365271e-01,2.643012922365273e-01
4.700000000000000e-01,2.699391875666164e-01,2.699391875666164e-01
4.800000000000000e-01,2.755735657097764e-01,2.755735657097764e-01
4.900000000000000e-01,2.812044769438864e-01,2.812044769438864e-01
5.000000000000000e-01,2.868319705481528e-01,2.868319705481528e-01
