delta X,delta width (hydro),delta volume (hydro)
-0.5,0.744351,-2.691101939130303e-02
-4.900000000000000e-01,7.169647174731595e-01,-2.700542132249373e-02
-4.800000000000000e-01,6.915001396456917e-01,-2.647442512285747e-02
-4.700000000000000e-01,6.668094489265157e-01,-2.594543360857915e-02
-4.600000000000000e-01,6.428531117162861e-01,-2.541748048851245e-02
-4.500000000000000e-01,6.196066341038442e-01,-2.488583128356714e-02
-4.400000000000000e-01,5.970315255682785e-01,-2.435516859465381e-02
-4.300000000000000e-01,5.762174111612908e-01,-2.313661490935348e-02
-4.200000000000000e-01,5.537944582046554e-01,-2.329330916113126e-02
-4.100000000000000e-01,5.330754552881050e-01,-2.276040903671805e-02
-4.000000000000000e-01,5.140449058717016e-01,-2.150272627212113e-02
-3.900000000000000e-01,4.944426782924281e-01,-2.095613298789278e-02
-3.800000000000000e-01,4.742446019912046e-01,-2.115184333715037e-02
-3.700000000000000e-01,4.567868214090041e-01,-1.986107707466900e-02
-3.600000000000000e-01,4.386952136740079e-01,-1.931111436618360e-02
-3.500000000000000e-01,4.199465659532955e-01,-1.953479799006863e-02
-3.400000000000000e-01,4.038861491849060e-01,-1.821008552795322e-02
-3.300000000000000e-01,3.871381700175229e-01,-1.765633186394411e-02
-3.200000000000000e-01,3.696792720236493e-01,-1.790852405382537e-02
-3.100000000000000e-01,3.537408329090690e-01,-1.736584092482152e-02
-3.000000000000000e-01,3.393151079719632e-01,-1.598865434975150e-02
-2.900000000000000e-01,3.230102486576567e-01,-1.626875964710384e-02
-2.800000000000000e-01,3.081873553861574e-01,-1.572220156737303e-02
-2.700000000000000e-01,2.948368440842584e-01,-1.431696117169490e-02
-2.600000000000000e-01,2.795655910206958e-01,-1.462696839381017e-02
-2.500000000000000e-01,2.657471152517661e-01,-1.407545321371684e-02
-2.400000000000000e-01,2.533698622045999e-01,-1.263297758791004e-02
-2.300000000000000e-01,2.390280363716342e-01,-1.297440794896698e-02
-2.200000000000000e-01,2.261117355440232e-01,-1.242128832755285e-02
-2.100000000000000e-01,2.146137585557755e-01,-1.094166520498874e-02
-2.000000000000000e-01,2.022522016932129e-01,-1.037624199344633e-02
-1.900000000000000e-01,1.890180683779974e-01,-1.075541341438002e-02
-1.800000000000000e-01,1.783113814093553e-01,-9.249180662584733e-03
-1.700000000000000e-01,1.667201435705614e-01,-8.678255170676108e-03
-1.600000000000000e-01,1.542255874509084e-01,-9.087835541326084e-03
-1.500000000000000e-01,1.442471802885144e-01,-7.536006887337798e-03
-1.400000000000000e-01,1.333513831828526e-01,-6.964465349807214e-03
-1.300000000000000e-01,1.215278419223429e-01,-7.406711696515078e-03
-1.200000000000000e-01,1.110639414212988e-01,-6.842711012714942e-03
-1.100000000000000e-01,1.019540495478803e-01,-5.241478349779172e-03
-1.000000000000000e-01,9.074698007506354e-02,-5.713074988452194e-03
-9.000000000000000e-02,8.088347311606259e-02,-5.146251187232220e-03
-8.000000000000000e-02,7.235954282821733e-02,-3.509068138551785e-03
-7.000000000000001e-02,6.171350350963900e-02,-4.013374081213827e-03
-6.000000000000000e-02,5.240014394039227e-02,-3.437609010239151e-03
-5.000000000000000e-02,4.441807680765897e-02,-1.766917882719876e-03
-4.000000000000000e-02,3.429106447017105e-02,-2.300066009649160e-03
-3.000000000000000e-02,2.548379636117826e-02,-1.721022645066683e-03
-2.000000000000000e-02,1.799646900003959e-02,-7.657303671138038e-06
-1.000000000000000e-02,9.504326752110659e-03,5.773589499327159e-04
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-7.026953671716241e-03,1.747010641070856e-03
2.000000000000000e-02,-1.507507848950873e-02,2.344149598744849e-03
3.000000000000000e-02,-2.415276904192598e-02,1.735253167848061e-03
4.000000000000000e-02,-3.192743969535072e-02,2.314920033072987e-03
5.000000000000000e-02,-3.840673991950982e-02,4.109730015529278e-03
6.000000000000000e-02,-4.709188635516137e-02,3.467065143202941e-03
7.000000000000001e-02,-5.449792649171736e-02,4.029079687438930e-03
8.000000000000000e-02,-6.065170035831280e-02,5.793725722687659e-03
9.000000000000000e-02,-6.896741584285127e-02,5.122725074768297e-03
1.000000000000000e-01,-7.491984154382358e-02,6.876909973585699e-03
1.100000000000000e-01,-8.189406616438133e-02,7.404638555912113e-03
1.200000000000000e-01,-8.986718188566800e-02,6.704142661560608e-03
1.300000000000000e-01,-9.662866028565609e-02,7.213551219804382e-03
1.400000000000000e-01,-1.022052147142896e-01,8.934986765806396e-03
1.500000000000000e-01,-1.087791064501645e-01,9.428177431664020e-03
1.600000000000000e-01,-1.152557611053755e-01,9.916098099898907e-03
1.700000000000000e-01,-1.227019999328469e-01,9.174141648793377e-03
1.800000000000000e-01,-1.279322548499994e-01,1.086918116025726e-02
1.900000000000000e-01,-1.351839042016906e-01,1.011071813571629e-02
2.000000000000000e-01,-1.402535048368455e-01,1.179991538076330e-02
2.100000000000000e-01,-1.462855237908003e-01,1.225041332967747e-02
2.200000000000000e-01,-1.522341634341786e-01,1.269383021343029e-02
2.300000000000000e-01,-1.591197500353426e-01,1.190453040995876e-02
2.400000000000000e-01,-1.648997212285914e-01,1.233371350071066e-02
2.500000000000000e-01,-1.706001941267451e-01,1.275774615034253e-02
2.600000000000000e-01,-1.762226088951814e-01,1.317696606807806e-02
2.700000000000000e-01,-1.807786270721341e-01,1.481775709375954e-02
2.800000000000000e-01,-1.862588224977235e-01,1.522496588655198e-02
2.900000000000000e-01,-1.916667092625245e-01,1.562610463622960e-02
3.000000000000000e-01,-1.979753391167621e-01,1.479190123649121e-02
3.100000000000000e-01,-2.032364557027420e-01,1.518079307914766e-02
3.200000000000000e-01,-2.084294837823174e-01,1.556399338604253e-02
3.300000000000000e-01,-2.126029405221728e-01,1.716369481337021e-02
3.400000000000000e-01,-2.176698044454807e-01,1.754507632783553e-02
