delta X,delta width (hydro),delta volume (hydro)
-0.5,-0.0480475,-4.804753337785950e-02
-4.900000000000000e-01,-4.704516925779867e-02,-4.704516925779878e-02
-4.800000000000000e-01,-4.653023721463079e-02,-4.653023721463079e-02
-4.700000000000000e-01,-4.600607752829877e-02,-4.600607752829866e-02
-4.600000000000000e-01,-4.547264326642264e-02,-4.547264326642264e-02
-4.500000000000000e-01,-4.492988652969410e-02,-4.492988652969421e-02
-4.400000000000000e-01,-4.381620912922901e-02,-4.381620912922901e-02
-4.300000000000000e-01,-4.324518772535424e-02,-4.324518772535435e-02
-4.200000000000000e-01,-4.266464234145984e-02,-4.266464234145972e-02
-4.100000000000000e-01,-4.207452006202983e-02,-4.207452006202972e-02
-4.000000000000000e-01,-4.147476692989915e-02,-4.147476692989915e-02
-3.900000000000000e-01,-4.024614698913243e-02,-4.024614698913243e-02
-3.800000000000000e-01,-3.961716693452888e-02,-3.961716693452877e-02
-3.700000000000000e-01,-3.897832950658198e-02,-3.897832950658187e-02
-3.600000000000000e-01,-3.832957533034931e-02,-3.832957533034931e-02
-3.500000000000000e-01,-3.767084390305642e-02,-3.767084390305631e-02
-3.400000000000000e-01,-3.632320155116187e-02,-3.632320155116187e-02
-3.300000000000000e-01,-3.563416383974649e-02,-3.563416383974649e-02
-3.200000000000000e-01,-3.493489527059968e-02,-3.493489527059968e-02
-3.100000000000000e-01,-3.422532946053247e-02,-3.422532946053247e-02
-3.000000000000000e-01,-3.350539879932279e-02,-3.350539879932291e-02
-2.900000000000000e-01,-3.203416623945055e-02,-3.203416623945055e-02
-2.800000000000000e-01,-3.128272282173838e-02,-3.128272282173838e-02
-2.700000000000000e-01,-3.052063147678763e-02,-3.052063147678763e-02
-2.600000000000000e-01,-2.974781818176020e-02,-2.974781818176009e-02
-2.500000000000000e-01,-2.896420757271390e-02,-2.896420757271390e-02
-2.400000000000000e-01,-2.736428612714603e-02,-2.736428612714614e-02
-2.300000000000000e-01,-2.654781766932068e-02,-2.654781766932057e-02
-2.200000000000000e-01,-2.572023661118528e-02,-2.572023661118528e-02
-2.100000000000000e-01,-2.488146056430451e-02,-2.488146056430451e-02
-2.000000000000000e-01,-2.403140566799089e-02,-2.403140566799078e-02
-1.900000000000000e-01,-2.229711638032073e-02,-2.229711638032073e-02
-1.800000000000000e-01,-2.141270669025597e-02,-2.141270669025586e-02
-1.700000000000000e-01,-2.051666750309433e-02,-2.051666750309444e-02
-1.600000000000000e-01,-1.960890723004849e-02,-1.960890723004849e-02
-1.500000000000000e-01,-1.868933265922379e-02,-1.868933265922368e-02
-1.400000000000000e-01,-1.681435949685806e-02,-1.681435949685794e-02
-1.300000000000000e-01,-1.585876611729864e-02,-1.585876611729853e-02
-1.200000000000000e-01,-1.489096880606722e-02,-1.489096880606711e-02
-1.100000000000000e-01,-1.391086581343670e-02,-1.391086581343670e-02
-1.000000000000000e-01,-1.291835359286697e-02,-1.291835359286697e-02
-9.000000000000000e-02,-1.089567810836090e-02,-1.089567810836101e-02
-8.000000000000000e-02,-9.865298480624562e-03,-9.865298480624674e-03
-7.000000000000001e-02,-8.822076830627523e-03,-8.822076830627634e-03
-6.000000000000000e-02,-7.765900140902504e-03,-7.765900140902393e-03
-5.000000000000000e-02,-6.696653396836783e-03,-6.696653396836783e-03
-4.000000000000000e-02,-4.518479482915172e-03,-4.518479482915172e-03
-3.000000000000000e-02,-3.409311967095041e-03,-3.409311967095041e-03
-2.000000000000000e-02,-2.286593627907729e-03,-2.286593627907840e-03
-1.000000000000000e-02,-1.150198902656108e-03,-1.150198902656108e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,2.342332899034627e-03,2.342332899034627e-03
2.000000000000000e-02,3.534734004391860e-03,3.534734004391860e-03
3.000000000000000e-02,4.741473594410239e-03,4.741473594410017e-03
4.000000000000000e-02,5.962691254685293e-03,5.962691254685293e-03
5.000000000000000e-02,7.190649120828230e-03,7.190649120828230e-03
6.000000000000000e-02,9.657077052542595e-03,9.657077052542595e-03
7.000000000000001e-02,1.089557579482325e-02,1.089557579482325e-02
8.000000000000000e-02,1.213761696451887e-02,1.213761696451887e-02
9.000000000000000e-02,1.338321508869189e-02,1.338321508869189e-02
1.000000000000000e-01,1.463238477075368e-02,1.463238477075368e-02
1.100000000000000e-01,1.714149760686134e-02,1.714149760686134e-02
1.200000000000000e-01,1.840147035387596e-02,1.840147035387596e-02
1.300000000000000e-01,1.966507384570892e-02,1.966507384570892e-02
1.400000000000000e-01,2.093232307489257e-02,2.093232307489279e-02
1.500000000000000e-01,2.220323311328531e-02,2.220323311328531e-02
1.600000000000000e-01,2.475609630481190e-02,2.475609630481190e-02
1.700000000000000e-01,2.603808000288810e-02,2.603808000288810e-02
1.800000000000000e-01,2.732378560109483e-02,2.732378560109483e-02
1.900000000000000e-01,2.861322857562887e-02,2.861322857562887e-02
2.000000000000000e-01,2.990642448512504e-02,2.990642448512504e-02
2.100000000000000e-01,3.250413775893080e-02,3.250413775893080e-02
2.200000000000000e-01,3.380868665751180e-02,3.380868665751202e-02
2.300000000000000e-01,3.511705156068490e-02,3.511705156068490e-02
