delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,-0.291237,-2.912370470229195e-01
-4.900000000000000e-01,-2.839332966273604e-01,-2.839332966273604e-01
-4.800000000000000e-01,-2.766295462318014e-01,-2.766295462318014e-01
-4.700000000000000e-01,-2.693257958362422e-01,-2.693257958362423e-01
-4.600000000000000e-01,-2.638479830395728e-01,-2.638479830395728e-01
-4.500000000000000e-01,-2.565442326440137e-01,-2.565442326440138e-01
-4.400000000000000e-01,-2.492404822484546e-01,-2.492404822484546e-01
-4.300000000000000e-01,-2.437626694517853e-01,-2.437626694517854e-01
-4.200000000000000e-01,-2.364589190562262e-01,-2.364589190562262e-01
-4.100000000000000e-01,-2.300681374601119e-01,-2.300681374601119e-01
-4.000000000000000e-01,-2.236773558639977e-01,-2.236773558639977e-01
-3.900000000000000e-01,-2.172865742678836e-01,-2.172865742678836e-01
-3.800000000000000e-01,-2.108957926717693e-01,-2.108957926717693e-01
-3.700000000000000e-01,-2.054179798750999e-01,-2.054179798750999e-01
-3.600000000000000e-01,-1.981142294795408e-01,-1.981142294795408e-01
-3.500000000000000e-01,-1.926364166828715e-01,-1.926364166828715e-01
-3.400000000000000e-01,-1.853326662873124e-01,-1.853326662873124e-01
-3.300000000000000e-01,-1.798548534906430e-01,-1.798548534906430e-01
-3.200000000000000e-01,-1.743770406939738e-01,-1.743770406939738e-01
-3.100000000000000e-01,-1.679862590978596e-01,-1.679862590978596e-01
-3.000000000000000e-01,-1.615954775017454e-01,-1.615954775017454e-01
-2.900000000000000e-01,-1.561176647050759e-01,-1.561176647050760e-01
-2.800000000000000e-01,-1.506398519084067e-01,-1.506398519084067e-01
-2.700000000000000e-01,-1.451620391117372e-01,-1.451620391117373e-01
-2.600000000000000e-01,-1.378582887161781e-01,-1.378582887161781e-01
-2.500000000000000e-01,-1.323804759195089e-01,-1.323804759195089e-01
-2.400000000000000e-01,-1.269026631228395e-01,-1.269026631228395e-01
