delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,-0.0100427,-4.477506005158901e-01
-4.900000000000000e-01,-1.004265679389382e-02,-4.389965511469013e-01
-4.800000000000000e-01,-1.004265679389382e-02,-4.302401938610282e-01
-4.700000000000000e-01,-1.004265679389382e-02,-4.214860785054630e-01
-4.600000000000000e-01,-1.004265679389382e-02,-4.127319631498976e-01
-4.500000000000000e-01,-8.216719195003996e-03,-4.028785082470756e-01
-4.400000000000000e-01,-8.216719195003996e-03,-3.941082462681404e-01
-4.300000000000000e-01,-8.216719195003996e-03,-3.853406477411785e-01
-4.200000000000000e-01,-8.216719195003996e-03,-3.765704587827949e-01
-4.100000000000000e-01,-8.216719195003996e-03,-3.678002708118785e-01
-4.000000000000000e-01,-6.390781596114170e-03,-3.578500164766727e-01
-3.900000000000000e-01,-6.390781596114170e-03,-3.490636839972086e-01
-3.800000000000000e-01,-6.390781596114170e-03,-3.402773525070293e-01
-3.700000000000000e-01,-6.390781596114170e-03,-3.314910220061349e-01
-3.600000000000000e-01,-6.390781596114170e-03,-3.227046924945238e-01
-3.500000000000000e-01,-6.390781596114170e-03,-3.139183639721982e-01
-3.400000000000000e-01,-6.390781596114170e-03,-3.051320364391578e-01
-3.300000000000000e-01,-6.390781596114170e-03,-2.963457098954010e-01
-3.200000000000000e-01,-6.390781596114170e-03,-2.875593843409288e-01
-3.100000000000000e-01,-6.390781596114170e-03,-2.787730597757410e-01
-3.000000000000000e-01,-6.390781596114170e-03,-2.699830396652504e-01
-2.900000000000000e-01,-6.390781596114170e-03,-2.611966310629459e-01
-2.800000000000000e-01,-6.390781596114170e-03,-2.524102224606408e-01
-2.700000000000000e-01,-4.564843997224344e-03,-2.422338350904265e-01
-2.600000000000000e-01,-4.564843997224344e-03,-2.334312798647530e-01
-2.500000000000000e-01,-4.564843997224344e-03,-2.246287246390781e-01
-2.400000000000000e-01,-4.564843997224344e-03,-2.158261694134043e-01
-2.300000000000000e-01,-4.564843997224344e-03,-2.070236141877301e-01
-2.200000000000000e-01,-4.564843997224344e-03,-1.982210589620560e-01
-2.100000000000000e-01,-2.738906398334517e-03,-1.879316452282541e-01
-2.000000000000000e-01,-2.738906398334517e-03,-1.791129433792102e-01
-1.900000000000000e-01,-4.564843997224344e-03,-1.718133932850332e-01
-1.800000000000000e-01,-2.738906398334517e-03,-1.614803513164705e-01
-1.700000000000000e-01,-2.738906398334517e-03,-1.526617477142981e-01
-1.600000000000000e-01,-2.738906398334517e-03,-1.438431451050461e-01
-1.500000000000000e-01,-2.738906398334517e-03,-1.350245434887143e-01
-1.400000000000000e-01,-2.738906398334517e-03,-1.262059428653026e-01
-1.300000000000000e-01,-2.738906398334517e-03,-1.173873432348121e-01
-1.200000000000000e-01,-2.738906398334517e-03,-1.085687445972415e-01
-1.100000000000000e-01,-9.129687994446911e-04,-9.810183231801883e-02
-1.000000000000000e-01,-2.738906398334517e-03,-9.093155030086308e-02
-9.000000000000000e-02,-2.738906398334517e-03,-8.211295464205404e-02
-8.000000000000000e-02,-9.129687994446911e-04,-7.159760605477017e-02
-7.000000000000001e-02,-9.129687994446911e-04,-6.276286595649938e-02
-6.000000000000000e-02,-9.129687994446911e-04,-5.392205963392505e-02
-5.000000000000000e-02,-9.129687994446911e-04,-4.509338874416946e-02
-4.000000000000000e-02,-9.129687994446911e-04,-3.625865163011188e-02
-3.000000000000000e-02,-9.129687994446911e-04,-2.741751421668381e-02
-2.000000000000000e-02,9.129687994449132e-04,-1.678902139212091e-02
-1.000000000000000e-02,9.129687994449132e-04,-7.938026296338219e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,9.129687994449132e-04,9.757090702778859e-03
