delta X,delta width (geo),delta volume (appGeo)
-0.5,0.0131796,2.653289075823295e-02
-4.900000000000000e-01,1.269069899258102e-02,2.554245182608184e-02
-4.800000000000000e-01,1.221857162468387e-02,2.458643674191507e-02
-4.700000000000000e-01,1.176236383877893e-02,2.366308088063285e-02
-4.600000000000000e-01,1.132128339082339e-02,2.277073823926212e-02
-4.500000000000000e-01,1.089458977246571e-02,2.190787163124153e-02
-4.400000000000000e-01,1.048159005389127e-02,2.107304383784037e-02
-4.300000000000000e-01,1.008163512135041e-02,2.026490960942096e-02
-4.200000000000000e-01,9.694116266312891e-03,1.948220842281034e-02
-4.100000000000000e-01,9.318462088481638e-03,1.872375791265735e-02
-4.000000000000000e-01,8.954135679473119e-03,1.798844790471210e-02
-3.900000000000000e-01,8.600632057914170e-03,1.727523498762396e-02
-3.800000000000000e-01,8.257475830149907e-03,1.658313756738505e-02
-3.700000000000000e-01,7.924219053731862e-03,1.591123135507533e-02
-3.600000000000000e-01,7.600439283470983e-03,1.525864524424314e-02
-3.500000000000000e-01,7.285737782094959e-03,1.462455753921921e-02
-3.400000000000000e-01,6.979737879562853e-03,1.400819249999263e-02
-3.300000000000000e-01,6.682083466808209e-03,1.340881717307374e-02
-3.200000000000000e-01,6.392437611241419e-03,1.282573848109614e-02
-3.100000000000000e-01,6.110481282666891e-03,1.225830054683952e-02
-3.000000000000000e-01,5.835912179483982e-03,1.170588222993429e-02
-2.900000000000000e-01,5.568443646068566e-03,1.116789485677705e-02
-2.800000000000000e-01,5.307803673186839e-03,1.064378012620626e-02
-2.700000000000000e-01,5.053733974089925e-03,1.013300817526042e-02
-2.600000000000000e-01,4.805989129700983e-03,9.635075790916492e-03
-2.500000000000000e-01,4.564335796926056e-03,9.149504755118887e-03
-2.400000000000000e-01,4.328551974722927e-03,8.675840311643590e-03
-2.300000000000000e-01,4.098426323067450e-03,8.213649744459817e-03
-2.200000000000000e-01,3.873757530419741e-03,7.762521058243932e-03
-2.100000000000000e-01,3.654353725711434e-03,7.322061752575548e-03
-2.000000000000000e-01,3.440031931232657e-03,6.891897682152814e-03
-1.900000000000000e-01,3.230617553143356e-03,6.471671996061135e-03
-1.800000000000000e-01,3.025943906621809e-03,6.061044149769490e-03
-1.700000000000000e-01,2.825851772930710e-03,5.659688984103628e-03
-1.600000000000000e-01,2.630188985929705e-03,5.267295865960975e-03
-1.500000000000000e-01,2.438810045770845e-03,4.883567885981099e-03
-1.400000000000000e-01,2.251575757717728e-03,4.508221108828092e-03
-1.300000000000000e-01,2.068352894197822e-03,4.140983872090276e-03
-1.200000000000000e-01,1.889013878367596e-03,3.781596130167486e-03
-1.100000000000000e-01,1.713436487605913e-03,3.429808839809256e-03
-1.000000000000000e-01,1.541503575488212e-03,3.085383384249463e-03
-9.000000000000000e-02,1.373102810906524e-03,2.748091033141886e-03
-8.000000000000000e-02,1.208126433122736e-03,2.417712435723640e-03
-7.000000000000001e-02,1.046471021624251e-03,2.094037144847238e-03
-6.000000000000000e-02,8.880372797470670e-04,1.776863169704157e-03
-5.000000000000000e-02,7.327298311248231e-04,1.465996555254367e-03
-4.000000000000000e-02,5.804570280705246e-04,1.161250986502438e-03
-3.000000000000000e-02,4.311307710995749e-04,8.624474159406592e-04
-2.000000000000000e-02,2.846663388285098e-04,5.694137125813459e-04
-1.000000000000000e-02,1.409822275730832e-04,2.819843311345771e-04
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-1.383558577565669e-04,-2.766925731702008e-04
2.000000000000000e-02,-2.741580710634572e-04,-5.482409794792531e-04
3.000000000000000e-02,-4.074767043426020e-04,-8.147873714210441e-04
4.000000000000000e-02,-5.383792816909816e-04,-1.076468711131207e-03
5.000000000000000e-02,-6.669309009926794e-04,-1.333417005158544e-03
6.000000000000000e-02,-7.931943419368093e-04,-1.585759526609998e-03
7.000000000000001e-02,-9.172301683146866e-04,-1.833619025447764e-03
8.000000000000000e-02,-1.039096824942631e-03,-2.077113927674179e-03
9.000000000000000e-02,-1.158850729547245e-03,-2.316358524081186e-03
1.000000000000000e-01,-1.276546359903263e-03,-2.551463149197963e-03
1.100000000000000e-01,-1.392236336519637e-03,-2.782534351022936e-03
1.200000000000000e-01,-1.505971501128522e-03,-3.009675052094818e-03
1.300000000000000e-01,-1.617800991226104e-03,-3.232984702405406e-03
1.400000000000000e-01,-1.727772310900044e-03,-3.452559424641621e-03
1.500000000000000e-01,-1.835931398146973e-03,-3.668492152195335e-03
1.600000000000000e-01,-1.942322688893383e-03,-3.880872760359422e-03
1.700000000000000e-01,-2.046989177898029e-03,-4.089788191101840e-03
