delta X,delta width (geo),delta volume (appGeo)
-0.5,-0.000383562,-7.669776935548267e-04
-4.900000000000000e-01,-3.755098758941866e-04,-7.508787441214970e-04
-4.800000000000000e-01,-3.674736645024046e-04,-7.348122921108091e-04
-4.700000000000000e-01,-3.594537230992012e-04,-7.187782392197306e-04
-4.600000000000000e-01,-3.514500023223954e-04,-7.027764875409126e-04
-4.500000000000000e-01,-3.434624530085362e-04,-6.868069395609133e-04
-4.400000000000000e-01,-3.354910261934574e-04,-6.708694981584218e-04
-4.300000000000000e-01,-3.275356731100576e-04,-6.549640666031475e-04
-4.200000000000000e-01,-3.195963451878558e-04,-6.390905485522680e-04
-4.100000000000000e-01,-3.116729940516594e-04,-6.232488480487630e-04
-4.000000000000000e-01,-3.037655715216747e-04,-6.074388695213040e-04
-3.900000000000000e-01,-2.958740296101769e-04,-5.916605177792578e-04
-3.800000000000000e-01,-2.879983205235082e-04,-5.759136980141299e-04
-3.700000000000000e-01,-2.801383966581916e-04,-5.601983157950130e-04
-3.600000000000000e-01,-2.722942106023751e-04,-5.445142770679201e-04
-3.500000000000000e-01,-2.644657151338325e-04,-5.288614881535647e-04
-3.400000000000000e-01,-2.566528632188536e-04,-5.132398557456952e-04
-3.300000000000000e-01,-2.488556080114668e-04,-4.976492869096516e-04
-3.200000000000000e-01,-2.410739028525510e-04,-4.820896890791460e-04
-3.100000000000000e-01,-2.333077012696139e-04,-4.665609700561513e-04
-3.000000000000000e-01,-2.255569569741267e-04,-4.510630380074598e-04
-2.900000000000000e-01,-2.178216238620800e-04,-4.355958014646832e-04
-2.800000000000000e-01,-2.101016560129843e-04,-4.201591693203666e-04
-2.700000000000000e-01,-2.023970076882042e-04,-4.047530508276553e-04
-2.600000000000000e-01,-1.947076333304043e-04,-3.893773555986302e-04
-2.500000000000000e-01,-1.870334875634372e-04,-3.740319936011982e-04
-2.400000000000000e-01,-1.793745251892354e-04,-3.587168751585379e-04
-2.300000000000000e-01,-1.717307011903646e-04,-3.434319109473227e-04
-2.200000000000000e-01,-1.641019707258051e-04,-3.281770119952787e-04
-2.100000000000000e-01,-1.564882891318398e-04,-3.129520896797411e-04
-2.000000000000000e-01,-1.488896119210548e-04,-2.977570557261000e-04
-1.900000000000000e-01,-1.413058947811185e-04,-2.825918222062462e-04
-1.800000000000000e-01,-1.337370935731164e-04,-2.674563015362397e-04
-1.700000000000000e-01,-1.261831643331046e-04,-2.523504064755322e-04
-1.600000000000000e-01,-1.186440632690022e-04,-2.372740501244142e-04
-1.500000000000000e-01,-1.111197467601466e-04,-2.222271459227931e-04
-1.400000000000000e-01,-1.036101713581816e-04,-2.072096076485286e-04
-1.300000000000000e-01,-9.611529378272810e-05,-1.922213494157665e-04
-1.200000000000000e-01,-8.863507092427003e-05,-1.772622856729411e-04
-1.100000000000000e-01,-8.116945984126822e-05,-1.623323312017755e-04
-1.000000000000000e-01,-7.371841776016019e-05,-1.474314011156164e-04
-9.000000000000000e-02,-6.628190207336182e-05,-1.325594108567696e-04
-8.000000000000000e-02,-5.885987034037754e-05,-1.177162761963890e-04
-7.000000000000001e-02,-5.145228028413662e-05,-1.029019132317011e-04
-6.000000000000000e-02,-4.405908979432382e-05,-8.811623838556049e-05
-5.000000000000000e-02,-3.668025692205035e-05,-7.335916840311985e-05
-4.000000000000000e-02,-2.931573988262937e-05,-5.863062035271760e-05
-3.000000000000000e-02,-2.196549705235640e-05,-4.393051162177031e-05
-2.000000000000000e-02,-1.462948696961952e-05,-2.925875991766080e-05
-1.000000000000000e-02,-7.307668332900974e-06,-1.461528326374140e-05
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,7.293559012300221e-06,1.458717122027053e-05
2.000000000000000e-02,1.457304952845462e-05,2.914631143036139e-05
3.000000000000000e-02,2.183851221593258e-05,4.367750135259030e-05
4.000000000000000e-02,2.908998758655024e-05,5.818082139974479e-05
5.000000000000000e-02,3.632751599424999e-05,7.265635167685858e-05
6.000000000000000e-02,4.355113763998553e-05,8.710417198121156e-05
7.000000000000001e-02,5.076089256905725e-05,1.015243618061046e-04
8.000000000000000e-02,5.795682067355479e-05,1.159170003397492e-04
9.000000000000000e-02,6.513896169257904e-05,1.302821664690423e-04
1.000000000000000e-01,7.230735521313036e-05,1.446199387797886e-04
1.100000000000000e-01,7.946204067121876e-05,1.589303955580323e-04
1.200000000000000e-01,8.660305735119778e-05,1.732136147918339e-04
1.300000000000000e-01,9.373044438842904e-05,1.874696741730464e-04
1.400000000000000e-01,1.008442407683940e-04,2.016986510979812e-04
1.500000000000000e-01,1.079444853284706e-04,2.159006226687410e-04
1.600000000000000e-01,1.150312167579326e-04,2.300756656963276e-04
1.700000000000000e-01,1.221044735981724e-04,2.442238566990884e-04
1.800000000000000e-01,1.291642942462534e-04,2.583452719071566e-04
1.900000000000000e-01,1.362107169513571e-04,2.724399872613414e-04
2.000000000000000e-01,1.432437798178920e-04,2.865080784162366e-04
2.100000000000000e-01,1.502635208074921e-04,3.005496207399982e-04
2.200000000000000e-01,1.572699777359077e-04,3.145646893176757e-04
2.300000000000000e-01,1.642631882778911e-04,3.285533589509892e-04
2.400000000000000e-01,1.712431899649758e-04,3.425157041594407e-04
2.500000000000000e-01,1.782100201863646e-04,3.564517991836436e-04
2.600000000000000e-01,1.851637161911501e-04,3.703617179842134e-04
2.700000000000000e-01,1.921043150883150e-04,3.842455342446538e-04
2.800000000000000e-01,1.990318538465097e-04,3.981033213715790e-04
