delta X,delta width (geo),delta volume (appGeo)
-0.5,0.239858,-2.313761694102439e-01
-4.900000000000000e-01,2.315826166127373e-01,-2.264341718132350e-01
-4.800000000000000e-01,2.235602639626824e-01,-2.215081458348170e-01
-4.700000000000000e-01,2.157784722842253e-01,-2.165978343550246e-01
-4.600000000000000e-01,2.082256754725829e-01,-2.117029872495634e-01
-4.500000000000000e-01,2.008910622575242e-01,-2.068233611244977e-01
-4.400000000000000e-01,1.937645144489599e-01,-2.019587190637659e-01
-4.300000000000000e-01,1.868365512225934e-01,-1.971088303887744e-01
-4.200000000000000e-01,1.800982787613798e-01,-1.922734704293685e-01
-4.100000000000000e-01,1.735413446563130e-01,-1.874524203055292e-01
-4.000000000000000e-01,1.671578965452867e-01,-1.826454667191895e-01
-3.900000000000000e-01,1.609405445334580e-01,-1.778524017555987e-01
-3.800000000000000e-01,1.548823269942694e-01,-1.730730226937071e-01
-3.700000000000000e-01,1.489766793984417e-01,-1.683071318250744e-01
-3.600000000000000e-01,1.432174058599684e-01,-1.635545362808348e-01
-3.500000000000000e-01,1.375986531243434e-01,-1.588150478662921e-01
-3.400000000000000e-01,1.321148867557804e-01,-1.540884829027248e-01
-3.300000000000000e-01,1.267608693076518e-01,-1.493746620760337e-01
-3.200000000000000e-01,1.215316402844033e-01,-1.446734102918642e-01
-3.100000000000000e-01,1.164224977242379e-01,-1.399845565368701e-01
-3.000000000000000e-01,1.114289812503246e-01,-1.353079337458059e-01
-2.900000000000000e-01,1.065468564545173e-01,-1.306433786741447e-01
-2.800000000000000e-01,1.017721004918803e-01,-1.259907317759513e-01
-2.700000000000000e-01,9.710088877693979e-02,-1.213498370867401e-01
-2.600000000000000e-01,9.252958268373157e-02,-1.167205421110750e-01
-2.500000000000000e-01,8.805471816162003e-02,-1.121026977146781e-01
-2.400000000000000e-01,8.367299518762250e-02,-1.074961580208266e-01
-2.300000000000000e-01,7.938126798376710e-02,-1.029007803108317e-01
-2.200000000000000e-01,7.517653593496854e-02,-9.831642492840764e-02
-2.100000000000000e-01,7.105593514907271e-02,-9.374295518773701e-02
-2.000000000000000e-01,6.701673060625479e-02,-8.918023728507152e-02
-1.900000000000000e-01,6.305630884989544e-02,-8.462814021369303e-02
-1.800000000000000e-01,5.917217117547913e-02,-8.008653568208635e-02
-1.700000000000000e-01,5.536192727802480e-02,-7.555529803517136e-02
-1.600000000000000e-01,5.162328932212712e-02,-7.103430417846013e-02
-1.500000000000000e-01,4.795406640187694e-02,-6.652343350500534e-02
-1.400000000000000e-01,4.435215936082315e-02,-6.202256782501181e-02
-1.300000000000000e-01,4.081555594473540e-02,-5.753159129800300e-02
-1.200000000000000e-01,3.734232626226497e-02,-5.305039036741777e-02
-1.100000000000000e-01,3.393061853073576e-02,-4.857885369753889e-02
-1.000000000000000e-01,3.057865508619706e-02,-4.411687211265292e-02
-9.000000000000000e-02,2.728472863862397e-02,-3.966433853834095e-02
-8.000000000000000e-02,2.404719875471417e-02,-3.522114794481312e-02
-7.000000000000001e-02,2.086448855216871e-02,-3.078719729220081e-02
-6.000000000000000e-02,1.773508159063653e-02,-2.636238547771919e-02
-5.000000000000000e-02,1.465751894568834e-02,-2.194661328463110e-02
-4.000000000000000e-02,1.163039645326935e-02,-1.753978333292938e-02
-3.000000000000000e-02,8.652362113039880e-03,-1.314180003167198e-02
-2.000000000000000e-02,5.722113639939685e-03,-8.752569532900267e-03
