delta X,delta width (geo),delta volume (appGeo)
-0.5,-0.161951,-2.976734064279164e-01
-4.900000000000000e-01,-1.581206122758251e-01,-2.912390965251687e-01
-4.800000000000000e-01,-1.543256892439517e-01,-2.848349601272830e-01
-4.700000000000000e-01,-1.505648634931080e-01,-2.784599488675180e-01
-4.600000000000000e-01,-1.468371011773014e-01,-2.721130680724501e-01
-4.500000000000000e-01,-1.431414195483067e-01,-2.657933731063093e-01
-4.400000000000000e-01,-1.394768835324973e-01,-2.594999660250570e-01
-4.300000000000000e-01,-1.358426025942605e-01,-2.532319925089390e-01
-4.200000000000000e-01,-1.322377278573982e-01,-2.469886390459093e-01
-4.100000000000000e-01,-1.286614494592032e-01,-2.407691303414635e-01
-4.000000000000000e-01,-1.251129941147806e-01,-2.345727269331964e-01
-3.900000000000000e-01,-1.215916228716764e-01,-2.283987229907848e-01
-3.800000000000000e-01,-1.180966290370645e-01,-2.222464442842115e-01
-3.700000000000000e-01,-1.146273362616638e-01,-2.161152463048833e-01
-3.600000000000000e-01,-1.111830967662217e-01,-2.100045125259166e-01
-3.500000000000000e-01,-1.077632896979023e-01,-2.039136527892909e-01
-3.400000000000000e-01,-1.043673196052023e-01,-1.978421018088306e-01
-3.300000000000000e-01,-1.009946150211806e-01,-1.917893177790846e-01
-3.200000000000000e-01,-9.764462714580247e-02,-1.857547810811622e-01
-3.100000000000000e-01,-9.431682861911017e-02,-1.797379930774539e-01
-3.000000000000000e-01,-9.101071237772695e-02,-1.737384749879526e-01
-2.900000000000000e-01,-8.772579058792385e-02,-1.677557668415717e-01
-2.800000000000000e-01,-8.446159364911610e-02,-1.617894264964838e-01
-2.700000000000000e-01,-8.121766926222074e-02,-1.558390287240543e-01
-2.600000000000000e-01,-7.799358155782621e-02,-1.499041643514352e-01
-2.500000000000000e-01,-7.478891027956824e-02,-1.439844394583313e-01
-2.400000000000000e-01,-7.160325001853396e-02,-1.380794746238513e-01
-2.300000000000000e-01,-6.843620949486606e-02,-1.321889042197071e-01
