delta X,delta width (geo),delta volume (appGeo)
-0.5,-0.0172639,-3.422972246624278e-02
-4.900000000000000e-01,-1.692400251088388e-02,-3.356158316077962e-02
-4.800000000000000e-01,-1.658392023228616e-02,-3.289281405430189e-02
-4.700000000000000e-01,-1.624363412165719e-02,-3.222341259383610e-02
-4.600000000000000e-01,-1.590314309082030e-02,-3.155337622147369e-02
-4.500000000000000e-01,-1.556244605070922e-02,-3.088270237433743e-02
-4.400000000000000e-01,-1.522154191135161e-02,-3.021138848454463e-02
-4.300000000000000e-01,-1.488042958185609e-02,-2.953943197917219e-02
-4.200000000000000e-01,-1.453910797039837e-02,-2.886683028022174e-02
-4.100000000000000e-01,-1.419757598420490e-02,-2.819358080458301e-02
-4.000000000000000e-01,-1.385583252954259e-02,-2.751968096399837e-02
-3.900000000000000e-01,-1.351387651170077e-02,-2.684512816502804e-02
-3.800000000000000e-01,-1.317170683497926e-02,-2.616991980901240e-02
-3.700000000000000e-01,-1.282932240267443e-02,-2.549405329203780e-02
-3.600000000000000e-01,-1.248672211706359e-02,-2.481752600489862e-02
-3.500000000000000e-01,-1.214390487939077e-02,-2.414033533306215e-02
-3.400000000000000e-01,-1.180086958985449e-02,-2.346247865663253e-02
-3.300000000000000e-01,-1.145761514759136e-02,-2.278395335031291e-02
-3.200000000000000e-01,-1.111414045066372e-02,-2.210475678337021e-02
-3.100000000000000e-01,-1.077044439604313e-02,-2.142488631959827e-02
-3.000000000000000e-01,-1.042652587959880e-02,-2.074433931727970e-02
-2.900000000000000e-01,-1.008238379608128e-02,-2.006311312915099e-02
-2.800000000000000e-01,-9.738017039108926e-03,-1.938120510236419e-02
-2.700000000000000e-01,-9.393424501154324e-03,-1.869861257844974e-02
-2.600000000000000e-01,-9.048605073528004e-03,-1.801533289327961e-02
-2.500000000000000e-01,-8.703557646366988e-03,-1.733136337703067e-02
-2.400000000000000e-01,-8.358281108617693e-03,-1.664670135414492e-02
-2.300000000000000e-01,-8.012774348023277e-03,-1.596134414329486e-02
