delta X,delta width (cla),delta volume (cla)
-0.5,0.252087,-2.161394637508497e-01
-4.900000000000000e-01,2.433844789992410e-01,-2.115374690657311e-01
-4.800000000000000e-01,2.349482485088341e-01,-2.069494682225810e-01
-4.700000000000000e-01,2.267649959193141e-01,-2.023752517371554e-01
-4.600000000000000e-01,2.188225834625472e-01,-1.978146154225082e-01
-4.500000000000000e-01,2.111096638265846e-01,-1.932673602022218e-01
-4.400000000000000e-01,2.036156156021538e-01,-1.887332919320431e-01
-4.300000000000000e-01,1.963304850341330e-01,-1.842122212294581e-01
-4.200000000000000e-01,1.892449333645023e-01,-1.797039633107791e-01
-4.100000000000000e-01,1.823501891447401e-01,-1.752083378353446e-01
-4.000000000000000e-01,1.756380049739967e-01,-1.707251687564566e-01
-3.900000000000000e-01,1.691006181867996e-01,-1.662542841786984e-01
-3.800000000000000e-01,1.627307150721053e-01,-1.617955162213051e-01
-3.700000000000000e-01,1.565213982557232e-01,-1.573487008872755e-01
-3.600000000000000e-01,1.504661569216110e-01,-1.529136779379323e-01
-3.500000000000000e-01,1.445588395852957e-01,-1.484902907726550e-01
-3.400000000000000e-01,1.387936291655261e-01,-1.440783863135274e-01
-3.300000000000000e-01,1.331650201289278e-01,-1.396778148946584e-01
-3.200000000000000e-01,1.276677975074838e-01,-1.352884301559426e-01
-3.100000000000000e-01,1.222970176105842e-01,-1.309100889410483e-01
-3.000000000000000e-01,1.170479902726869e-01,-1.265426511994259e-01
-2.900000000000000e-01,1.119162624945254e-01,-1.221859798921465e-01
-2.800000000000000e-01,1.068976033507449e-01,-1.178399409013916e-01
-2.700000000000000e-01,1.019879900500296e-01,-1.135044029434122e-01
-2.600000000000000e-01,9.718359504539698e-02,-1.091792374848117e-01
-2.500000000000000e-01,9.248077410269517e-02,-1.048643186619819e-01
-2.400000000000000e-01,8.787605524446662e-02,-1.005595232035611e-01
-2.300000000000000e-01,8.336612849448555e-02,-9.626473035577010e-02
-2.200000000000000e-01,7.894783635553271e-02,-9.197982181049735e-02
-2.100000000000000e-01,7.461816495941687e-02,-8.770468163601219e-02
-2.000000000000000e-01,7.037423583402247e-02,-8.343919621018647e-02
-1.900000000000000e-01,6.621329823732980e-02,-7.918325415611893e-02
-1.800000000000000e-01,6.213272201296371e-02,-7.493674628005276e-02
-1.700000000000000e-01,5.812999092597360e-02,-7.069956551148959e-02
-1.600000000000000e-01,5.420269644126896e-02,-6.647160684540487e-02
-1.500000000000000e-01,5.034853191047839e-02,-6.225276728647755e-02
-1.400000000000000e-01,4.656528713601515e-02,-5.804294579524294e-02
-1.300000000000000e-01,4.285084328384414e-02,-5.384204323609310e-02
-1.200000000000000e-01,3.920316811889757e-02,-4.964996232704932e-02
-1.100000000000000e-01,3.562031153931033e-02,-4.546660759122767e-02
-1.000000000000000e-01,3.210040138763759e-02,-4.129188530992933e-02
-9.000000000000000e-02,2.864163951904097e-02,-3.712570347729749e-02
-8.000000000000000e-02,2.524229810807621e-02,-3.296797175646482e-02
-7.000000000000001e-02,2.190071617721379e-02,-2.881860143714321e-02
-6.000000000000000e-02,1.861529633156889e-02,-2.467750539458979e-02
-5.000000000000000e-02,1.538450168557448e-02,-2.054459804990116e-02
-4.000000000000000e-02,1.220685296843960e-02,-1.641979533157878e-02
-3.000000000000000e-02,9.080925796269401e-03,-1.230301463831951e-02
-2.000000000000000e-02,6.005348099660912e-03,-8.194174802982790e-03
-1.000000000000000e-02,2.978797696440827e-03,-4.093196057688098e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-2.932274145615477e-03,4.085490439838191e-03
2.000000000000000e-02,-5.819210512027495e-03,8.163351030666455e-03
3.000000000000000e-02,-8.661953421844615e-03,1.223365627119444e-02
4.000000000000000e-02,-1.146160757999459e-02,1.629647941986168e-02
5.000000000000000e-02,-1.421923980759399e-02,2.035189252379332e-02
6.000000000000000e-02,-1.693588068440499e-02,2.439996644689102e-02
7.000000000000001e-02,-1.961252610549835e-02,2.844077089708930e-02
8.000000000000000e-02,-2.225013875735848e-02,3.247437445280510e-02
9.000000000000000e-02,-2.484964951828927e-02,3.650084458861702e-02
1.000000000000000e-01,-2.741195878765723e-02,4.052024770018781e-02
1.100000000000000e-01,-2.993793774818310e-02,4.453264912847499e-02
1.200000000000000e-01,-3.242842956523162e-02,4.853811318323653e-02
1.300000000000000e-01,-3.488425052675603e-02,5.253670316587011e-02
1.400000000000000e-01,-3.730619112733602e-02,5.652848139160338e-02
1.500000000000000e-01,-3.969501709950130e-02,6.051350921105580e-02
1.600000000000000e-01,-4.205147039534385e-02,6.449184703119748e-02
1.700000000000000e-01,-4.437627012120626e-02,6.846355433572504e-02
1.800000000000000e-01,-4.667011342807181e-02,7.242868970486915e-02
1.900000000000000e-01,-4.893367636010626e-02,7.638731083466421e-02
2.000000000000000e-01,-5.116761466364994e-02,8.033947455568136e-02
2.100000000000000e-01,-5.337256455880646e-02,8.428523685126454e-02
2.200000000000000e-01,-5.554914347566187e-02,8.822465287525794e-02
2.300000000000000e-01,-5.769795075700834e-02,9.215777696927607e-02
2.400000000000000e-01,-5.981956832937241e-02,9.608466267949578e-02
