delta X,delta width (cla),delta volume (cla)
-0.5,-0.169503,-3.102754200936817e-01
-4.900000000000000e-01,-1.655089970328301e-01,-3.036247659668470e-01
-4.800000000000000e-01,-1.615503840222920e-01,-2.970022414668344e-01
-4.700000000000000e-01,-1.576264804433951e-01,-2.904068535498185e-01
-4.600000000000000e-01,-1.537362469973839e-01,-2.838376603539273e-01
-4.500000000000000e-01,-1.498786955418818e-01,-2.772937677064279e-01
-4.400000000000000e-01,-1.460528856697826e-01,-2.707743259270949e-01
-4.300000000000000e-01,-1.422579215742344e-01,-2.642785268978480e-01
-4.200000000000000e-01,-1.384929491711997e-01,-2.578056013722628e-01
-4.100000000000000e-01,-1.347571534543361e-01,-2.513548165015571e-01
-4.000000000000000e-01,-1.310497560598315e-01,-2.449254735563220e-01
-3.900000000000000e-01,-1.273700130212854e-01,-2.385169058255285e-01
-3.800000000000000e-01,-1.237172126969418e-01,-2.321284766763836e-01
-3.700000000000000e-01,-1.200906738534662e-01,-2.257595777603529e-01
-3.600000000000000e-01,-1.164897438921415e-01,-2.194096273522264e-01
-3.500000000000000e-01,-1.129137972048371e-01,-2.130780688104595e-01
-3.400000000000000e-01,-1.093622336484017e-01,-2.067643691482359e-01
-3.300000000000000e-01,-1.058344771272777e-01,-2.004680177057513e-01
-3.200000000000000e-01,-1.023299742751621e-01,-1.941885249151690e-01
-3.100000000000000e-01,-9.884819322742788e-02,-1.879254211505291e-01
-3.000000000000000e-01,-9.538862247683488e-02,-1.816782556556419e-01
-2.900000000000000e-01,-9.195076980576233e-02,-1.754465955436527e-01
-2.800000000000000e-01,-8.853416128884195e-02,-1.692300248625654e-01
-2.700000000000000e-01,-8.513834036042811e-02,-1.630281437215285e-01
-2.600000000000000e-01,-8.176286694186474e-02,-1.568405674731764e-01
-2.500000000000000e-01,-7.840731662394551e-02,-1.506669259477236e-01
-2.400000000000000e-01,-7.507127990039653e-02,-1.445068627349098e-01
-2.300000000000000e-01,-7.175436144855518e-02,-1.383600345102208e-01
-2.200000000000000e-01,-6.845617945377003e-02,-1.322261104021335e-01
-2.100000000000000e-01,-6.517636497432877e-02,-1.261047713973907e-01
-2.000000000000000e-01,-6.191456134400475e-02,-1.199957097815890e-01
-1.900000000000000e-01,-5.867042360954500e-02,-1.138986286125671e-01
-1.800000000000000e-01,-5.544361800065334e-02,-1.078132412243041e-01
-1.700000000000000e-01,-5.223382143020716e-02,-1.017392707592117e-01
-1.600000000000000e-01,-4.904072102265167e-02,-9.567644972688183e-02
-1.500000000000000e-01,-4.586401366865067e-02,-8.962451958750328e-02
-1.400000000000000e-01,-4.270340560425034e-02,-8.358323035830018e-02
-1.300000000000000e-01,-3.955861201292854e-02,-7.755234024146807e-02
-1.200000000000000e-01,-3.642935664903824e-02,-7.153161527221386e-02
-1.100000000000000e-01,-3.331537148126307e-02,-6.552082898559186e-02
-1.000000000000000e-01,-3.021639635480888e-02,-5.951976210094689e-02
-9.000000000000000e-02,-2.713217867114270e-02,-5.352820222284294e-02
-8.000000000000000e-02,-2.406247308419351e-02,-4.754594355746000e-02
-7.000000000000001e-02,-2.100704121198604e-02,-4.157278664349040e-02
-6.000000000000000e-02,-1.796565136277550e-02,-3.560853809666253e-02
-5.000000000000000e-02,-1.493807827479976e-02,-2.965301036705559e-02
-4.000000000000000e-02,-1.192410286883860e-02,-2.370602150845125e-02
-3.000000000000000e-02,-8.923512012820045e-03,-1.776739495899715e-02
-2.000000000000000e-02,-5.936098297766534e-03,-1.183695933253270e-02
-1.000000000000000e-02,-2.961659824431195e-03,-5.914548219946969e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,2.949072655704432e-03,5.906842340936969e-03
2.000000000000000e-02,5.885744695051986e-03,1.180613138071895e-02
3.000000000000000e-02,8.810197918972529e-03,1.769801542531613e-02
4.000000000000000e-02,1.172260954531978e-02,2.358263866519117e-02
5.000000000000000e-02,1.462315236967693e-02,2.946014132458030e-02
6.000000000000000e-02,1.751199491900635e-02,3.533065980405525e-02
7.000000000000001e-02,2.038930159852992e-02,4.119432681673518e-02
8.000000000000000e-02,2.325523283220043e-02,4.705127151848054e-02
9.000000000000000e-02,2.610994519709808e-02,5.290161963239126e-02
1.000000000000000e-01,2.895359155206934e-02,5.874549356790237e-02
1.100000000000000e-01,3.178632116090774e-02,6.458301253475951e-02
1.200000000000000e-01,3.460827981035197e-02,7.041429265213517e-02
1.300000000000000e-01,3.741960992316895e-02,7.623944705313934e-02
1.400000000000000e-01,4.022045066656266e-02,8.205858598494631e-02
1.500000000000000e-01,4.301093805614808e-02,8.787181690476542e-02
1.600000000000000e-01,4.579120505570322e-02,9.367924457185972e-02
1.700000000000000e-01,4.856138167291135e-02,9.948097113580423e-02
1.800000000000000e-01,5.132159505128153e-02,1.052770962211702e-01
1.900000000000000e-01,5.407196955843996e-02,1.110677170088084e-01
2.000000000000000e-01,5.681262687095678e-02,1.168529283138917e-01
2.100000000000000e-01,5.954368605587601e-02,1.226328226608726e-01
2.200000000000000e-01,6.226526364910523e-02,1.284074903555026e-01
2.300000000000000e-01,6.497747373080620e-02,1.341770195540495e-01
2.400000000000000e-01,6.768042799792995e-02,1.399414963298420e-01
2.500000000000000e-01,7.037423583402247e-02,1.457010047372669e-01
2.600000000000000e-01,7.305900437642943e-02,1.514556268733336e-01
2.700000000000000e-01,7.573483858101215e-02,1.572054429369159e-01
2.800000000000000e-01,7.840184128449046e-02,1.629505312857791e-01
2.900000000000000e-01,8.106011326451479e-02,1.686909684914855e-01
3.000000000000000e-01,8.370975329756947e-02,1.744268293922784e-01
3.100000000000000e-01,8.635085821479782e-02,1.801581871440276e-01
3.200000000000000e-01,8.898352295584711e-02,1.858851132693276e-01
3.300000000000000e-01,9.160784062080785e-02,1.916076777048226e-01
3.400000000000000e-01,9.422390252033774e-02,1.973259488468373e-01
3.500000000000000e-01,9.683179822404275e-02,2.030399935953873e-01
3.600000000000000e-01,9.943161560718905e-02,2.087498773966336e-01
3.700000000000000e-01,1.020234408958152e-01,2.144556642838520e-01
3.800000000000000e-01,1.046073587103129e-01,2.201574169169733e-01
