delta X,delta width (cla),delta volume (cla)
-0.5,-0.0191288,-3.789167791072579e-02
-4.900000000000000e-01,-1.876514535818752e-02,-3.717816003606156e-02
-4.800000000000000e-01,-1.840076497712995e-02,-3.646294180251664e-02
-4.700000000000000e-01,-1.803565076737812e-02,-3.574601683615342e-02
-4.600000000000000e-01,-1.766980028642184e-02,-3.502737873068218e-02
-4.500000000000000e-01,-1.730321108047472e-02,-3.430702104725403e-02
-4.400000000000000e-01,-1.693588068440499e-02,-3.358493731425383e-02
-4.300000000000000e-01,-1.656780662167079e-02,-3.286112102708905e-02
-4.200000000000000e-01,-1.619898640425221e-02,-3.213556564797948e-02
-4.100000000000000e-01,-1.582941753258149e-02,-3.140826460574286e-02
-4.000000000000000e-01,-1.545909749547758e-02,-3.067921129558115e-02
-3.900000000000000e-01,-1.508802377007457e-02,-2.994839907886349e-02
-3.800000000000000e-01,-1.471619382175393e-02,-2.921582128290834e-02
-3.700000000000000e-01,-1.434360510407240e-02,-2.848147120076316e-02
-3.600000000000000e-01,-1.397025505869443e-02,-2.774534209098400e-02
-3.500000000000000e-01,-1.359614111531893e-02,-2.700742717741045e-02
-3.400000000000000e-01,-1.322126069160923e-02,-2.626771964894314e-02
-3.300000000000000e-01,-1.284561119311911e-02,-2.552621265931365e-02
-3.200000000000000e-01,-1.246919001322300e-02,-2.478289932686006e-02
-3.100000000000000e-01,-1.209199453303944e-02,-2.403777273429231e-02
-3.000000000000000e-01,-1.171402212136163e-02,-2.329082592846388e-02
-2.900000000000000e-01,-1.133527013457958e-02,-2.254205192013514e-02
-2.800000000000000e-01,-1.095573591660659e-02,-2.179144368373909e-02
-2.700000000000000e-01,-1.057541679880614e-02,-2.103899415714372e-02
-2.600000000000000e-01,-1.019431009991156e-02,-2.028469624141060e-02
-2.500000000000000e-01,-9.812413125955266e-03,-1.952854280055638e-02
-2.400000000000000e-01,-9.429723170186644e-03,-1.877052666130730e-02
-2.300000000000000e-01,-9.046237512997934e-03,-1.801064061285440e-02
-2.200000000000000e-01,-8.661953421844837e-03,-1.724887740660774e-02
-2.100000000000000e-01,-8.276868151168015e-03,-1.648522975594446e-02
-2.000000000000000e-01,-7.890978942314386e-03,-1.571969033596099e-02
-1.900000000000000e-01,-7.504283023456626e-03,-1.495225178321746e-02
-1.800000000000000e-01,-7.116777609513125e-03,-1.418290669548350e-02
-1.700000000000000e-01,-6.728459902067163e-03,-1.341164763148084e-02
-1.600000000000000e-01,-6.339327089284641e-03,-1.263846711062477e-02
-1.500000000000000e-01,-5.949376345832702e-03,-1.186335761276180e-02
-1.400000000000000e-01,-5.558604832796910e-03,-1.108631157790707e-02
-1.300000000000000e-01,-5.167009697596536e-03,-1.030732140597834e-02
-1.200000000000000e-01,-4.774588073902297e-03,-9.526379456529122e-03
-1.100000000000000e-01,-4.381337081549752e-03,-8.743478048477860e-03
-1.000000000000000e-01,-3.987253826456372e-03,-7.958609459836619e-03
-9.000000000000000e-02,-3.592335400533497e-03,-7.171765927437401e-03
-8.000000000000000e-02,-3.196578881600187e-03,-6.382939646654262e-03
-7.000000000000001e-02,-2.799981333296842e-03,-5.592122771127084e-03
-6.000000000000000e-02,-2.402539804996051e-03,-4.799307412477694e-03
-5.000000000000000e-02,-2.004251331715334e-03,-4.004485640029976e-03
-4.000000000000000e-02,-1.605112934026209e-03,-3.207649480521657e-03
-3.000000000000000e-02,-1.205121617966154e-03,-2.408790917818981e-03
-2.000000000000000e-02,-8.042743749472336e-04,-1.607901892624275e-03
-1.000000000000000e-02,-4.025681816630655e-04,-8.049743021852906e-04
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,4.034332230578030e-04,8.070292044810579e-04
2.000000000000000e-02,8.077345555210780e-04,1.616121546154314e-03
3.000000000000000e-02,1.212907080489822e-03,2.427285304565263e-03
4.000000000000000e-02,1.618953896247666e-03,3.240528804213216e-03
5.000000000000000e-02,2.025878116357793e-03,4.055860414857504e-03
6.000000000000000e-02,2.433682869759313e-03,4.873288551828558e-03
7.000000000000001e-02,2.842371300863622e-03,5.692821676338999e-03
8.000000000000000e-02,3.251946569653885e-03,6.514468295798936e-03
9.000000000000000e-02,3.662411851780734e-03,7.338236964133049e-03
1.000000000000000e-01,4.073770338664406e-03,8.164136282100554e-03
1.100000000000000e-01,4.486025237592894e-03,8.992174897617833e-03
1.200000000000000e-01,4.899179771824302e-03,9.822361506084842e-03
1.300000000000000e-01,5.313237180686547e-03,1.065470485071107e-02
1.400000000000000e-01,5.728200719681276e-03,1.148921372284772e-02
1.500000000000000e-01,6.144073660587557e-03,1.232589696232123e-02
1.600000000000000e-01,6.560859291562693e-03,1.316476345776851e-02
1.700000000000000e-01,6.978560917251020e-03,1.400582214697743e-02
1.800000000000000e-01,7.397181858887381e-03,1.484908201722757e-02
1.900000000000000e-01,7.816725454403928e-03,1.569455210563664e-02
2.000000000000000e-01,8.237195058536262e-03,1.654224149950467e-02
2.100000000000000e-01,8.658594042934675e-03,1.739215933666927e-02
2.200000000000000e-01,9.080925796269401e-03,1.824431480585620e-02
2.300000000000000e-01,9.504193724343413e-03,1.909871714703604e-02
2.400000000000000e-01,9.928401250200336e-03,1.995537565178540e-02
2.500000000000000e-01,1.035355181423880e-02,2.081429966364734e-02
2.600000000000000e-01,1.077964887432259e-02,2.167549857849904e-02
2.700000000000000e-01,1.120669590589607e-02,2.253898184491909e-02
2.800000000000000e-01,1.163469640209569e-02,2.340475896456007e-02
