delta X,delta width (geo),delta volume (geo)
-0.5,-0.44396,-6.908199333036811e-01
-4.900000000000000e-01,-4.350811656263432e-01,-6.808667105699089e-01
-4.800000000000000e-01,-4.262019581645812e-01,-6.707558071858390e-01
-4.700000000000000e-01,-4.173227507028190e-01,-6.604872231514707e-01
-4.600000000000000e-01,-4.084435432410569e-01,-6.500609584668047e-01
-4.500000000000000e-01,-3.995643357792948e-01,-6.394770131318406e-01
-4.400000000000000e-01,-3.906851283175325e-01,-6.287353871465783e-01
-4.300000000000000e-01,-3.818059208557705e-01,-6.178360805110181e-01
-4.200000000000000e-01,-3.729267133940083e-01,-6.067790932251599e-01
-4.100000000000000e-01,-3.640475059322463e-01,-5.955644252890038e-01
-4.000000000000000e-01,-3.551682984704841e-01,-5.841920767025495e-01
-3.900000000000000e-01,-3.462890910087221e-01,-5.726620474657973e-01
-3.800000000000000e-01,-3.374098835469600e-01,-5.609743375787470e-01
-3.700000000000000e-01,-3.285306760851978e-01,-5.491289470413986e-01
-3.600000000000000e-01,-3.196514686234359e-01,-5.371258758537523e-01
-3.500000000000000e-01,-3.107722611616737e-01,-5.249651240158080e-01
-3.400000000000000e-01,-3.018930536999116e-01,-5.126466915275656e-01
-3.300000000000000e-01,-2.930138462381495e-01,-5.001705783890251e-01
-3.200000000000000e-01,-2.841346387763873e-01,-4.875367846001867e-01
-3.100000000000000e-01,-2.752554313146254e-01,-4.747453101610503e-01
-3.000000000000000e-01,-2.663762238528632e-01,-4.617961550716156e-01
-2.900000000000000e-01,-2.574970163911010e-01,-4.486893193318832e-01
-2.800000000000000e-01,-2.486178089293390e-01,-4.354248029418527e-01
-2.700000000000000e-01,-2.397386014675768e-01,-4.220026059015241e-01
-2.600000000000000e-01,-2.308593940058148e-01,-4.084227282108975e-01
-2.500000000000000e-01,-2.219801865440526e-01,-3.946851698699729e-01
-2.400000000000000e-01,-2.131009790822905e-01,-3.807899308787503e-01
-2.300000000000000e-01,-2.042217716205285e-01,-3.667370112372296e-01
-2.200000000000000e-01,-1.953425641587663e-01,-3.525264109454110e-01
-2.100000000000000e-01,-1.864633566970042e-01,-3.381581300032942e-01
-2.000000000000000e-01,-1.775841492352421e-01,-3.236321684108795e-01
-1.900000000000000e-01,-1.687049417734799e-01,-3.089485261681667e-01
-1.800000000000000e-01,-1.598257343117176e-01,-2.941072032751557e-01
-1.700000000000000e-01,-1.509465268499559e-01,-2.791081997318474e-01
-1.600000000000000e-01,-1.420673193881936e-01,-2.639515155382403e-01
-1.500000000000000e-01,-1.331881119264313e-01,-2.486371506943353e-01
-1.400000000000000e-01,-1.243089044646695e-01,-2.331651052001326e-01
-1.300000000000000e-01,-1.154296970029072e-01,-2.175353790556314e-01
-1.200000000000000e-01,-1.065504895411452e-01,-2.017479722608327e-01
-1.100000000000000e-01,-9.767128207938292e-02,-1.858028848157356e-01
-1.000000000000000e-01,-8.879207461762095e-02,-1.697001167203408e-01
-9.000000000000000e-02,-7.991286715585866e-02,-1.534396679746476e-01
-8.000000000000000e-02,-7.103365969409658e-02,-1.370215385786564e-01
-7.000000000000001e-02,-6.215445223233484e-02,-1.204457285323681e-01
