delta X,delta width (geo),delta volume (geo)
-0.5,-0.0560396,-1.089388140393646e-01
-4.900000000000000e-01,-5.491883437365641e-02,-1.068215903783519e-01
-4.800000000000000e-01,-5.379804183541859e-02,-1.047018543655119e-01
-4.700000000000000e-01,-5.267724929718098e-02,-1.025796060008447e-01
-4.600000000000000e-01,-5.155645675894305e-02,-1.004548452843493e-01
-4.500000000000000e-01,-5.043566422070500e-02,-9.832757221602628e-02
-4.400000000000000e-01,-4.931487168246707e-02,-9.619778679587587e-02
-4.300000000000000e-01,-4.819407914422946e-02,-9.406548902389866e-02
-4.200000000000000e-01,-4.707328660599153e-02,-9.193067890009332e-02
-4.100000000000000e-01,-4.595249406775337e-02,-8.979335642445996e-02
-4.000000000000000e-01,-4.483170152951543e-02,-8.765352159699935e-02
-3.900000000000000e-01,-4.371090899127772e-02,-8.551117441771161e-02
-3.800000000000000e-01,-4.259011645303989e-02,-8.336631488659629e-02
-3.700000000000000e-01,-4.146932391480196e-02,-8.121894300365329e-02
-3.600000000000000e-01,-4.034853137656380e-02,-7.906905876888226e-02
-3.500000000000000e-01,-3.922773883832609e-02,-7.691666218228432e-02
-3.400000000000000e-01,-3.810694630008826e-02,-7.476175324385892e-02
-3.300000000000000e-01,-3.698615376185033e-02,-7.260433195360561e-02
-3.200000000000000e-01,-3.586536122361239e-02,-7.044439831152471e-02
-3.100000000000000e-01,-3.474456868537446e-02,-6.828195231761636e-02
-3.000000000000000e-01,-3.362377614713652e-02,-6.611699397188053e-02
-2.900000000000000e-01,-3.250298360889881e-02,-6.394952327431735e-02
-2.800000000000000e-01,-3.138219107066087e-02,-6.177954022492627e-02
-2.700000000000000e-01,-3.026139853242293e-02,-5.960704482370782e-02
-2.600000000000000e-01,-2.914060599418500e-02,-5.743203707066169e-02
-2.500000000000000e-01,-2.801981345594695e-02,-5.525451696578809e-02
-2.400000000000000e-01,-2.689902091770935e-02,-5.307448450908747e-02
-2.300000000000000e-01,-2.577822837947163e-02,-5.089193970055905e-02
-2.200000000000000e-01,-2.465743584123348e-02,-4.870688254020250e-02
-2.100000000000000e-01,-2.353664330299554e-02,-4.651931302801871e-02
-2.000000000000000e-01,-2.241585076475783e-02,-4.432923116400778e-02
-1.900000000000000e-01,-2.129505822652000e-02,-4.213663694816927e-02
-1.800000000000000e-01,-2.017426568828207e-02,-3.994153038050285e-02
-1.700000000000000e-01,-1.905347315004402e-02,-3.774391146100853e-02
-1.600000000000000e-01,-1.793268061180608e-02,-3.554378018968718e-02
-1.500000000000000e-01,-1.681188807356826e-02,-3.334113656653837e-02
-1.400000000000000e-01,-1.569109553533055e-02,-3.113598059156220e-02
-1.300000000000000e-01,-1.457030299709261e-02,-2.892831226475812e-02
-1.200000000000000e-01,-1.344951045885456e-02,-2.671813158612646e-02
-1.100000000000000e-01,-1.232871792061663e-02,-2.450543855566734e-02
-1.000000000000000e-01,-1.120792538237869e-02,-2.229023317338064e-02
-9.000000000000000e-02,-1.008713284414098e-02,-2.007251543926669e-02
-8.000000000000000e-02,-8.966340305902820e-03,-1.785228535332462e-02
-7.000000000000001e-02,-7.845547767665106e-03,-1.562954291555563e-02
