delta X,delta width (geo),delta volume (geo)
-0.5,-0.109191,-2.064593668103373e-01
-4.900000000000000e-01,-1.070649387264466e-01,-2.026669763483956e-01
-4.800000000000000e-01,-1.049363580230814e-01,-1.988610768110146e-01
-4.700000000000000e-01,-1.028052810662184e-01,-1.950416363173328e-01
-4.600000000000000e-01,-1.006717078558574e-01,-1.912086229490998e-01
-4.500000000000000e-01,-9.853563839199875e-02,-1.873620047506787e-01
-4.400000000000000e-01,-9.639707267464148e-02,-1.835017497290429e-01
-4.300000000000000e-01,-9.425601070378720e-02,-1.796278258537820e-01
-4.200000000000000e-01,-9.211245247943423e-02,-1.757402010570926e-01
-4.100000000000000e-01,-8.996639800158379e-02,-1.718388432337883e-01
-4.000000000000000e-01,-8.781784727023478e-02,-1.679237202412913e-01
-3.900000000000000e-01,-8.566680028538831e-02,-1.639947998996401e-01
-3.800000000000000e-01,-8.351325704704382e-02,-1.600520499914820e-01
-3.700000000000000e-01,-8.135721755520131e-02,-1.560954382620783e-01
-3.600000000000000e-01,-7.919868180986078e-02,-1.521249324193020e-01
-3.500000000000000e-01,-7.703764981102268e-02,-1.481405001336398e-01
-3.400000000000000e-01,-7.487412155868656e-02,-1.441421090381881e-01
-3.300000000000000e-01,-7.270809705285208e-02,-1.401297267286573e-01
-3.200000000000000e-01,-7.053957629351970e-02,-1.361033207633703e-01
-3.100000000000000e-01,-6.836855928068974e-02,-1.320628586632624e-01
-3.000000000000000e-01,-6.619504601436177e-02,-1.280083079118801e-01
-2.900000000000000e-01,-6.401903649453566e-02,-1.239396359553826e-01
-2.800000000000000e-01,-6.184053072121143e-02,-1.198568102025418e-01
-2.700000000000000e-01,-5.965952869438962e-02,-1.157597980247427e-01
-2.600000000000000e-01,-5.747603041407001e-02,-1.116485667559809e-01
-2.500000000000000e-01,-5.529003588025194e-02,-1.075230836928646e-01
-2.400000000000000e-01,-5.310154509293619e-02,-1.033833160946154e-01
-2.300000000000000e-01,-5.091055805212230e-02,-9.922923118306615e-02
-2.200000000000000e-01,-4.871707475781106e-02,-9.506079614266427e-02
-2.100000000000000e-01,-4.652109521000147e-02,-9.087797812046494e-02
-2.000000000000000e-01,-4.432261940869398e-02,-8.668074422614003e-02
-1.900000000000000e-01,-4.212164735388813e-02,-8.246906153197131e-02
-1.800000000000000e-01,-3.991817904558492e-02,-7.824289707285459e-02
-1.700000000000000e-01,-3.771221448378326e-02,-7.400221784629579e-02
-1.600000000000000e-01,-3.550375366848435e-02,-6.974699081241620e-02
-1.500000000000000e-01,-3.329279659968676e-02,-6.547718289394555e-02
-1.400000000000000e-01,-3.107934327739170e-02,-6.119276097622950e-02
-1.300000000000000e-01,-2.886339370159841e-02,-5.689369190722338e-02
-1.200000000000000e-01,-2.664494787230776e-02,-5.257994249749753e-02
-1.100000000000000e-01,-2.442400578951831e-02,-4.825147952023023e-02
-1.000000000000000e-01,-2.220056745323140e-02,-4.390826971121742e-02
-9.000000000000000e-02,-1.997463286344625e-02,-3.955027976886327e-02
-8.000000000000000e-02,-1.774620202016342e-02,-3.517747635418633e-02
-7.000000000000001e-02,-1.551527492338289e-02,-3.078982609081771e-02
-6.000000000000000e-02,-1.328185157310413e-02,-2.638729556499841e-02
-5.000000000000000e-02,-1.104593196932757e-02,-2.196985132558404e-02
-4.000000000000000e-02,-8.807516112052771e-03,-1.753745988404143e-02
-3.000000000000000e-02,-6.576378288065565e-03,-1.310950782474352e-02
-2.000000000000000e-02,-4.365113206558302e-03,-8.711172199810546e-03
-1.000000000000000e-02,-2.173180433622024e-03,-4.341638154047089e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,2.154985094485751e-03,4.314614149728779e-03
2.000000000000000e-02,4.292310006868361e-03,8.603043938931521e-03
3.000000000000000e-02,6.412489111383923e-03,1.286609823937135e-02
4.000000000000000e-02,8.516016998644016e-03,1.710455654280918e-02
5.000000000000000e-02,1.060336941771323e-02,2.131917027843500e-02
6.000000000000000e-02,1.267500416486089e-02,2.551066406030089e-02
7.000000000000001e-02,1.473136192247737e-02,2.967973686904579e-02
8.000000000000000e-02,1.677286705138314e-02,3.382706317188955e-02
9.000000000000000e-02,1.879992833952437e-02,3.795329398461988e-02
1.000000000000000e-01,2.081293970983067e-02,4.205905787902608e-02
1.100000000000000e-01,2.281228088981124e-02,4.614496193901818e-02
1.200000000000000e-01,2.479831804527866e-02,5.021159266843211e-02
1.300000000000000e-01,2.677140438042325e-02,5.425951685334618e-02
1.400000000000000e-01,2.873188070630639e-02,5.828928238153397e-02
1.500000000000000e-01,3.068007597969080e-02,6.230141902150121e-02
1.600000000000000e-01,3.261630781400382e-02,6.629643916342554e-02
1.700000000000000e-01,3.454088296409319e-02,7.027483852412564e-02
1.800000000000000e-01,3.645409778633790e-02,7.423709681809143e-02
1.900000000000000e-01,3.835623867555693e-02,7.818367839644980e-02
2.000000000000000e-01,4.024758248007609e-02,8.211503285564259e-02
2.100000000000000e-01,4.212839689621029e-02,8.603159561746532e-02
2.200000000000000e-01,4.399894084334632e-02,8.993378848202860e-02
2.300000000000000e-01,4.585946482072756e-02,9.382202015509877e-02
2.400000000000000e-01,4.771021124697783e-02,9.769668675118659e-02
2.500000000000000e-01,4.955141478332337e-02,1.015581722736754e-01
2.600000000000000e-01,5.138330264142899e-02,1.054068490731985e-01
2.700000000000000e-01,5.320609487668659e-02,1.092430782853999e-01
2.800000000000000e-01,5.502000466775581e-02,1.130672102491515e-01
2.900000000000000e-01,5.682523858310673e-02,1.168795849062405e-01
3.000000000000000e-01,5.862199683525615e-02,1.206805321834650e-01
3.100000000000000e-01,6.041047352336082e-02,1.244703723580380e-01
3.200000000000000e-01,6.219085686478554e-02,1.282494164071473e-01
3.300000000000000e-01,6.396332941622251e-02,1.320179663424530e-01
3.400000000000000e-01,6.572806828490996e-02,1.357763155302858e-01
3.500000000000000e-01,6.748524533046507e-02,1.395247489982430e-01
3.600000000000000e-01,6.923502735780929e-02,1.432635437288552e-01
3.700000000000000e-01,7.097757630164847e-02,1.469929689409530e-01
3.800000000000000e-01,7.271304940292778e-02,1.507132863593279e-01
3.900000000000000e-01,7.444159937767414e-02,1.544247504732543e-01
4.000000000000000e-01,7.616337457859901e-02,1.581276087843977e-01
4.100000000000000e-01,7.787851914982591e-02,1.618221020446218e-01
4.200000000000000e-01,7.958717317508124e-02,1.655084644841625e-01
4.300000000000000e-01,8.128947281966470e-02,1.691869240306283e-01
4.400000000000000e-01,8.298555046650735e-02,1.728577025192439e-01
4.500000000000000e-01,8.467553484659662e-02,1.765210158947503e-01
4.600000000000000e-01,8.635955116404426e-02,1.801770744053437e-01
4.700000000000000e-01,8.803772121604658e-02,1.838260827890075e-01
4.800000000000000e-01,8.971016350798444e-02,1.874682404525980e-01
4.900000000000000e-01,9.137699336388616e-02,1.911037416439958e-01
5.000000000000000e-01,9.303832303247228e-02,1.947327756176391e-01
