delta X,delta width (geo),delta volume (geo)
-0.5,0.0889674,1.858501001205768e-01
-4.900000000000000e-01,8.776935181826340e-02,1.832421627551248e-01
-4.800000000000000e-01,8.654753221598188e-02,1.805855397646401e-01
-4.700000000000000e-01,8.530198796122868e-02,1.778804050725951e-01
-4.600000000000000e-01,8.403271905400445e-02,1.751269359796179e-01
-4.500000000000000e-01,8.273972549430830e-02,1.723253131634901e-01
-4.400000000000000e-01,8.142300728214091e-02,1.694757206791495e-01
-4.300000000000000e-01,8.008256441750183e-02,1.665783459586869e-01
-4.200000000000000e-01,7.871839690039129e-02,1.636333798113501e-01
-4.100000000000000e-01,7.733050473080949e-02,1.606410164235403e-01
-4.000000000000000e-01,7.591888790875601e-02,1.576014533588141e-01
-3.900000000000000e-01,7.448354643423105e-02,1.545148915578825e-01
-3.800000000000000e-01,7.302448030723485e-02,1.513815353386112e-01
-3.700000000000000e-01,7.154168952776696e-02,1.482015923960209e-01
-3.600000000000000e-01,7.003517409582760e-02,1.449752738022878e-01
-3.500000000000000e-01,6.850493401141677e-02,1.417027940067417e-01
-3.400000000000000e-01,6.695096927453426e-02,1.383843708358679e-01
-3.300000000000000e-01,6.537327988518049e-02,1.350202254933068e-01
-3.200000000000000e-01,6.377186584335504e-02,1.316105825598530e-01
-3.100000000000000e-01,6.214672714905833e-02,1.281556699934561e-01
-3.000000000000000e-01,6.049786380228994e-02,1.246557191292201e-01
-2.900000000000000e-01,5.882527580305030e-02,1.211109646794051e-01
-2.800000000000000e-01,5.712896315133897e-02,1.175216447334249e-01
-2.700000000000000e-01,5.540892584715618e-02,1.138880007578480e-01
-2.600000000000000e-01,5.366516389050191e-02,1.102102775963980e-01
-2.500000000000000e-01,5.189767728137618e-02,1.064887234699541e-01
-2.400000000000000e-01,5.010646601977897e-02,1.027235899765493e-01
-2.300000000000000e-01,4.829153010571030e-02,9.891513209137126e-02
-2.200000000000000e-01,4.645286953917016e-02,9.506360816676329e-02
-2.100000000000000e-01,4.459048432015833e-02,9.116927993222301e-02
-2.000000000000000e-01,4.270437444867525e-02,8.723241249440283e-02
-1.900000000000000e-01,4.079453992472049e-02,8.325327433711061e-02
-1.800000000000000e-01,3.886098074829447e-02,7.923213732130829e-02
-1.700000000000000e-01,3.690369691939699e-02,7.516927668511264e-02
-1.600000000000000e-01,3.492268843802782e-02,7.106497104379494e-02
-1.500000000000000e-01,3.291795530418717e-02,6.691950238978284e-02
-1.400000000000000e-01,3.088949751787506e-02,6.273315609265695e-02
-1.300000000000000e-01,2.883731507909149e-02,5.850622089915380e-02
-1.200000000000000e-01,2.676140798783666e-02,5.423898893316448e-02
-1.100000000000000e-01,2.466177624410992e-02,4.993175569573438e-02
-1.000000000000000e-01,2.253841984791216e-02,4.558482006506481e-02
-9.000000000000000e-02,2.039133879924226e-02,4.119848429651007e-02
-8.000000000000000e-02,1.822053309810157e-02,3.677305402258191e-02
-7.000000000000001e-02,1.602600274448895e-02,3.230883825294439e-02
-6.000000000000000e-02,1.380774773840510e-02,2.780614937441728e-02
-5.000000000000000e-02,1.156576807984955e-02,2.326530315097597e-02
-4.000000000000000e-02,9.300063768822753e-03,1.868661872374933e-02
-3.000000000000000e-02,7.010634805324267e-03,1.407041861102210e-02
-2.000000000000000e-02,4.697481189354313e-03,9.417028708232911e-03
-1.000000000000000e-02,2.360602920912891e-03,4.726778287976074e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-2.384327573384359e-03,-4.762970128791566e-03
2.000000000000000e-02,-4.792379799240076e-03,-9.561792694340099e-03
3.000000000000000e-02,-7.224156677567595e-03,-1.439612491543318e-02
4.000000000000000e-02,-9.677279923619775e-03,-1.926091010051956e-02
5.000000000000000e-02,-1.213186586160864e-02,-2.411654955393339e-02
6.000000000000000e-02,-1.458344719722882e-02,-2.895421746230331e-02
7.000000000000001e-02,-1.703202393047987e-02,-3.377395802179128e-02
8.000000000000000e-02,-1.947759606136212e-02,-3.857581537439481e-02
9.000000000000000e-02,-2.192016358987547e-02,-4.335983360794404e-02
1.000000000000000e-01,-2.435972651601981e-02,-4.812605675610448e-02
1.100000000000000e-01,-2.679628483979535e-02,-5.287452879837529e-02
1.200000000000000e-01,-2.922983856120187e-02,-5.760529366008971e-02
1.300000000000000e-01,-3.166038768023949e-02,-6.231839521241611e-02
1.400000000000000e-01,-3.408793219690809e-02,-6.701387727235542e-02
