delta X,delta width (hydro),delta volume (hydro)
-0.5,0.806529,-6.233651840186649e-03
-4.900000000000000e-01,7.778502258324178e-01,-6.012787765369065e-03
-4.800000000000000e-01,7.500674761886406e-01,-5.798771316338547e-03
-4.700000000000000e-01,7.231397868192890e-01,-5.591288894125190e-03
-4.600000000000000e-01,6.970282781215595e-01,-5.390045761308859e-03
-4.500000000000000e-01,6.716963926724717e-01,-5.194764644940508e-03
-4.400000000000000e-01,6.471097243906077e-01,-5.005184461854828e-03
-4.300000000000000e-01,6.232358625624659e-01,-4.821059154011098e-03
-4.200000000000000e-01,6.000442492459381e-01,-4.642156622933991e-03
-4.100000000000000e-01,5.775060487310850e-01,-4.468257753598270e-03
-4.000000000000000e-01,5.555940278852673e-01,-4.299155519074671e-03
-3.900000000000000e-01,5.342824463382736e-01,-4.134654158250095e-03
-3.800000000000000e-01,5.135469555759706e-01,-3.974568419805480e-03
-3.700000000000000e-01,4.933645061106495e-01,-3.818722866227864e-03
-3.600000000000000e-01,4.737132619836084e-01,-3.666951232439319e-03
-3.500000000000000e-01,4.545725219330974e-01,-3.519095834068287e-03
-3.400000000000000e-01,4.359226466291088e-01,-3.375007020939513e-03
-3.300000000000000e-01,4.177449914371467e-01,-3.234542671817775e-03
-3.200000000000000e-01,4.000218442269607e-01,-3.097567726793260e-03
-3.100000000000000e-01,3.827363677899864e-01,-2.963953754121840e-03
-3.000000000000000e-01,3.658725464719597e-01,-2.833578548525395e-03
-2.900000000000000e-01,3.494151366649598e-01,-2.706325758382699e-03
-2.800000000000000e-01,3.333496208371327e-01,-2.582084539390461e-03
-2.700000000000000e-01,3.176621648086617e-01,-2.460749232506609e-03
-2.600000000000000e-01,3.023395780095763e-01,-2.342219064260687e-03
-2.500000000000000e-01,2.873692764794415e-01,-2.226397867582386e-03
-2.400000000000000e-01,2.727392483906701e-01,-2.113193821583037e-03
-2.300000000000000e-01,2.584380218969458e-01,-2.002519208759712e-03
-2.200000000000000e-01,2.444546351257924e-01,-1.894290188314107e-03
-2.100000000000000e-01,2.307786081503282e-01,-1.788426584322100e-03
-2.000000000000000e-01,2.173999167895513e-01,-1.684851687637878e-03
-1.900000000000000e-01,2.043089680994339e-01,-1.583492070532766e-03
-1.800000000000000e-01,1.914965774289394e-01,-1.484277413074331e-03
-1.700000000000000e-01,1.789539469255408e-01,-1.387140340432302e-03
-1.600000000000000e-01,1.666726453845515e-01,-1.292016270294849e-03
-1.500000000000000e-01,1.546445893452568e-01,-1.198843269668570e-03
-1.400000000000000e-01,1.428620253447472e-01,-1.107561920401068e-03
-1.300000000000000e-01,1.313175132475588e-01,-1.018115192827906e-03
-1.200000000000000e-01,1.200039105758328e-01,-9.304483269383379e-04
-1.100000000000000e-01,1.089143577705791e-01,-8.445087205851687e-04
-1.000000000000000e-01,9.804226432016150e-02,-7.602458242254029e-04
-9.000000000000000e-02,8.738129569702968e-02,-6.776110417704428e-04
-8.000000000000000e-02,7.692536104828696e-02,-5.965576371281811e-04
-7.000000000000001e-02,6.666860158983923e-02,-5.170406460457411e-04
-6.000000000000000e-02,5.660537965760271e-02,-4.390167929486655e-04
-5.000000000000000e-02,4.673026837284056e-02,-3.624444123887516e-04
-4.000000000000000e-02,3.703804188175530e-02,-2.872833748550629e-04
-3.000000000000000e-02,2.752366613248114e-02,-2.134950166412519e-04
-2.000000000000000e-02,1.818229015524930e-02,-1.410420735303841e-04
-1.000000000000000e-02,9.009237814006976e-03,-6.988861803625124e-05
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-8.849772760057051e-03,6.865720967796918e-05
2.000000000000000e-02,-1.754427730668562e-02,1.361152723589054e-04
3.000000000000000e-02,-2.608756448493321e-02,2.024053322027264e-04
4.000000000000000e-02,-3.448354543826782e-02,2.675574641222145e-04
5.000000000000000e-02,-4.273599757965607e-02,3.316007192812886e-04
6.000000000000000e-02,-5.084857025897216e-02,3.945631682873429e-04
7.000000000000001e-02,-5.882479014461683e-02,4.564719422019969e-04
8.000000000000000e-02,-6.666806633596312e-02,5.173532715530005e-04
