delta X,delta width (hydro),delta volume (hydro)
-0.5,0.0565997,3.667259788123989e-03
-4.900000000000000e-01,5.540481107799100e-02,3.589688000180669e-03
-4.800000000000000e-01,5.421263460170178e-02,3.512298457961638e-03
-4.700000000000000e-01,5.302315573986416e-02,3.435090519664508e-03
-4.600000000000000e-01,5.183636532250313e-02,3.358063546488710e-03
-4.500000000000000e-01,5.065225422126884e-02,3.281216902631057e-03
-4.400000000000000e-01,4.947081334920522e-02,3.204549955271974e-03
-4.300000000000000e-01,4.829203366048951e-02,3.128062074535531e-03
-4.200000000000000e-01,4.711590615022976e-02,3.051752633500993e-03
-4.100000000000000e-01,4.594242185421682e-02,2.975621008169949e-03
-4.000000000000000e-01,4.477157184869363e-02,2.899666577447224e-03
-3.900000000000000e-01,4.360334725012449e-02,2.823888723124224e-03
-3.800000000000000e-01,4.243773921498728e-02,2.748286829879376e-03
-3.700000000000000e-01,4.127473893952405e-02,2.672860285237721e-03
-3.600000000000000e-01,4.011433765952832e-02,2.597608479566693e-03
-3.500000000000000e-01,3.895652665012395e-02,2.522530806058798e-03
-3.400000000000000e-01,3.780129722553971e-02,2.447626660713853e-03
-3.300000000000000e-01,3.664864073889262e-02,2.372895442322553e-03
-3.200000000000000e-01,3.549854858197010e-02,2.298336552451596e-03
-3.100000000000000e-01,3.435101218501480e-02,2.223949395429026e-03
-3.000000000000000e-01,3.320602301650211e-02,2.149733378320473e-03
-2.900000000000000e-01,3.206357258293591e-02,2.075687910924051e-03
-2.800000000000000e-01,3.092365242863671e-02,2.001812405752146e-03
-2.700000000000000e-01,2.978625413551650e-02,1.928106278004549e-03
-2.600000000000000e-01,2.865136932288914e-02,1.854568945570678e-03
-2.500000000000000e-01,2.751898964724875e-02,1.781199829000268e-03
-2.400000000000000e-01,2.638910680206896e-02,1.707998351495821e-03
-2.300000000000000e-01,2.526171251759712e-02,1.634963938895284e-03
-2.200000000000000e-01,2.413679856065110e-02,1.562096019657178e-03
-2.100000000000000e-01,2.301435673441232e-02,1.489394024842383e-03
-2.000000000000000e-01,2.189437887822843e-02,1.416857388102599e-03
-1.900000000000000e-01,2.077685686741759e-02,1.344485545669016e-03
-1.800000000000000e-01,1.966178261306051e-02,1.272277936328781e-03
-1.700000000000000e-01,1.854914806181651e-02,1.200234001423439e-03
-1.600000000000000e-01,1.743894519571043e-02,1.128353184816522e-03
-1.500000000000000e-01,1.633116603195028e-02,1.056634932892431e-03
-1.400000000000000e-01,1.522580262273698e-02,9.850786945448942e-04
-1.300000000000000e-01,1.412284705505940e-02,9.136839211492109e-04
-1.200000000000000e-01,1.302229145051848e-02,8.424500665629164e-04
-1.100000000000000e-01,1.192412796512432e-02,7.713765870991374e-04
-1.000000000000000e-01,1.082834878911920e-02,7.004629415232611e-04
-9.000000000000000e-02,9.734946146779055e-03,6.297085910278444e-04
-8.000000000000000e-02,8.643912296241396e-03,5.591129992323918e-04
-7.000000000000001e-02,7.555239529311031e-03,4.886756321600405e-04
-6.000000000000000e-02,6.468920171277981e-03,4.183959582251262e-04
-5.000000000000000e-02,5.384946580738958e-03,3.482734482243011e-04
-4.000000000000000e-02,4.303311149417288e-03,2.783075753216568e-04
-3.000000000000000e-02,3.224006301975502e-03,2.084978150305172e-04
-2.000000000000000e-02,2.147024495841920e-03,1.388436452041120e-04
-1.000000000000000e-02,1.072358221040126e-03,6.934454602913753e-05
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-1.070057612612696e-03,-6.919050808740224e-05
2.000000000000000e-02,-2.137822030067182e-03,-1.382274911485570e-04
3.000000000000000e-02,-3.203300633740080e-03,-2.071114598207746e-04
4.000000000000000e-02,-4.266500773291715e-03,-2.758429224801739e-04
5.000000000000000e-02,-5.327429766835534e-03,-3.444223852536732e-04
6.000000000000000e-02,-6.386094901100425e-03,-4.128503520245408e-04
7.000000000000001e-02,-7.442503431613789e-03,-4.811273244599290e-04
8.000000000000000e-02,-8.496662582851755e-03,-5.492538020032134e-04
9.000000000000000e-02,-9.548579548423364e-03,-6.172302819078546e-04
1.000000000000000e-01,-1.059826149121268e-02,-6.850572592241866e-04
1.100000000000000e-01,-1.164571554356986e-02,-7.527352268389409e-04
1.200000000000000e-01,-1.269094880745059e-02,-8.202646754651433e-04
1.300000000000000e-01,-1.373396835459584e-02,-8.876460936683150e-04
1.400000000000000e-01,-1.477478122667941e-02,-9.548799678680275e-04
1.500000000000000e-01,-1.581339443547591e-02,-1.021966782356887e-03
1.600000000000000e-01,-1.684981496301330e-02,-1.088907019304530e-03
1.700000000000000e-01,-1.788404976174551e-02,-1.155701158786049e-03
1.800000000000000e-01,-1.891610575468305e-02,-1.222349678765333e-03
1.900000000000000e-01,-1.994598983557783e-02,-1.288853055136929e-03
2.000000000000000e-01,-2.097370886905670e-02,-1.355211761713826e-03
2.100000000000000e-01,-2.199926969078647e-02,-1.421426270252990e-03
2.200000000000000e-01,-2.302267910762412e-02,-1.487497050461695e-03
2.300000000000000e-01,-2.404394389776310e-02,-1.553424570002848e-03
2.400000000000000e-01,-2.506307081089876e-02,-1.619209294522306e-03
2.500000000000000e-01,-2.608006656835959e-02,-1.684851687638100e-03
2.600000000000000e-01,-2.709493786327066e-02,-1.750352210969197e-03
2.700000000000000e-01,-2.810769136069868e-02,-1.815711324141156e-03
2.800000000000000e-01,-2.911833369779027e-02,-1.880929484786908e-03
2.900000000000000e-01,-3.012687148393123e-02,-1.946007148574402e-03
3.000000000000000e-01,-3.113331130088604e-02,-2.010944769206047e-03
3.100000000000000e-01,-3.213765970294113e-02,-2.075742798433033e-03
3.200000000000000e-01,-3.313992321704884e-02,-2.140401686063442e-03
3.300000000000000e-01,-3.414010834297154e-02,-2.204921879974231e-03
3.400000000000000e-01,-3.513822155341928e-02,-2.269303826118119e-03
3.500000000000000e-01,-3.613426929420338e-02,-2.333547968547567e-03
3.600000000000000e-01,-3.712825798435715e-02,-2.397654749403677e-03
3.700000000000000e-01,-3.812019401629196e-02,-2.461624608945057e-03
3.800000000000000e-01,-3.911008375592306e-02,-2.525457985544266e-03
3.900000000000000e-01,-4.009793354281310e-02,-2.589155315704472e-03
4.000000000000000e-01,-4.108374969031392e-02,-2.652717034075769e-03
4.100000000000000e-01,-4.206753848568856e-02,-2.716143573448959e-03
4.200000000000000e-01,-4.304930619025749e-02,-2.779435364779759e-03
4.300000000000000e-01,-4.402905903952803e-02,-2.842592837191016e-03
4.400000000000000e-01,-4.500680324332540e-02,-2.905616417982815e-03
4.500000000000000e-01,-4.598254498593723e-02,-2.968506532652793e-03
4.600000000000000e-01,-4.695629042622373e-02,-3.031263604885481e-03
4.700000000000000e-01,-4.792804569776943e-02,-3.093888056581728e-03
4.800000000000000e-01,-4.889781690899808e-02,-3.156380307853701e-03
4.900000000000000e-01,-4.986561014331248e-02,-3.218740777045093e-03
5.000000000000000e-01,-5.083143145921487e-02,-3.280969880733564e-03
