delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,0.00273891,-4.749526635271273e-02
-4.900000000000000e-01,2.738906398334517e-03,-4.649058289769170e-02
-4.800000000000000e-01,2.738906398334517e-03,-4.548589944267090e-02
-4.700000000000000e-01,2.738906398334517e-03,-4.448121598765009e-02
-4.600000000000000e-01,2.738906398334517e-03,-4.347653253262918e-02
-4.500000000000000e-01,2.738906398334517e-03,-4.247184907760815e-02
-4.400000000000000e-01,2.738906398334517e-03,-4.146716562258701e-02
-4.300000000000000e-01,2.738906398334517e-03,-4.046248216756609e-02
-4.200000000000000e-01,2.738906398334517e-03,-3.945779871254540e-02
-4.100000000000000e-01,2.738906398334517e-03,-3.845311525752404e-02
-4.000000000000000e-01,1.825937598889826e-03,-3.832481103144658e-02
-3.900000000000000e-01,9.129687994449132e-04,-3.819833628389446e-02
-3.800000000000000e-01,9.129687994449132e-04,-3.719548230739844e-02
-3.700000000000000e-01,9.129687994449132e-04,-3.619262833090253e-02
-3.600000000000000e-01,9.129687994449132e-04,-3.518977435440673e-02
-3.500000000000000e-01,9.129687994449132e-04,-3.418692037791082e-02
-3.400000000000000e-01,9.129687994449132e-04,-3.318406640141502e-02
-3.300000000000000e-01,9.129687994449132e-04,-3.218121242491911e-02
-3.200000000000000e-01,9.129687994449132e-04,-3.117835844842309e-02
-3.100000000000000e-01,9.129687994449132e-04,-3.017550447192729e-02
-3.000000000000000e-01,9.129687994449132e-04,-2.917265049543138e-02
-2.900000000000000e-01,9.129687994449132e-04,-2.816979651893536e-02
-2.800000000000000e-01,9.129687994449132e-04,-2.716694254243968e-02
-2.700000000000000e-01,9.129687994449132e-04,-2.616408856594377e-02
-2.600000000000000e-01,9.129687994449132e-04,-2.516123458944775e-02
-2.500000000000000e-01,9.129687994449132e-04,-2.415838061295206e-02
-2.400000000000000e-01,9.129687994449132e-04,-2.315552663645615e-02
-2.300000000000000e-01,9.129687994449132e-04,-2.215267265996035e-02
-2.200000000000000e-01,9.129687994449132e-04,-2.114981868346422e-02
-2.100000000000000e-01,9.129687994449132e-04,-2.014696470696853e-02
-2.000000000000000e-01,9.129687994449132e-04,-1.914411073047273e-02
-1.900000000000000e-01,9.129687994449132e-04,-1.814125675397671e-02
-1.800000000000000e-01,9.129687994449132e-04,-1.713840277748091e-02
-1.700000000000000e-01,9.129687994449132e-04,-1.613554880098478e-02
-1.600000000000000e-01,9.129687994449132e-04,-1.513269482448898e-02
-1.500000000000000e-01,9.129687994449132e-04,-1.412984084799318e-02
-1.400000000000000e-01,9.129687994449132e-04,-1.312698687149738e-02
-1.300000000000000e-01,9.129687994449132e-04,-1.212413289500136e-02
-1.200000000000000e-01,9.129687994449132e-04,-1.112127891850556e-02
-1.100000000000000e-01,9.129687994449132e-04,-1.011842494200965e-02
-1.000000000000000e-01,9.129687994449132e-04,-9.115570965513742e-03
-9.000000000000000e-02,9.129687994449132e-04,-8.112716989017832e-03
-8.000000000000000e-02,9.129687994449132e-04,-7.109863012521811e-03
-7.000000000000001e-02,9.129687994449132e-04,-6.107009036025901e-03
-6.000000000000000e-02,9.129687994449132e-04,-5.104155059530324e-03
-5.000000000000000e-02,9.129687994449132e-04,-4.101301083034192e-03
-4.000000000000000e-02,9.129687994449132e-04,-3.098447106538615e-03
-3.000000000000000e-02,9.129687994449132e-04,-2.095593130042595e-03
-2.000000000000000e-02,0.000000000000000e+00,-2.003878474466481e-03
-1.000000000000000e-02,0.000000000000000e+00,-1.001939237233018e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-9.129687994446911e-04,8.805569852610162e-05
2.000000000000000e-02,-9.129687994446911e-04,1.089080196497116e-03
3.000000000000000e-02,-9.129687994446911e-04,2.090104694467909e-03
4.000000000000000e-02,-9.129687994446911e-04,3.091129192438480e-03
5.000000000000000e-02,-9.129687994446911e-04,4.092153690409495e-03
6.000000000000000e-02,-9.129687994446911e-04,5.093178188380731e-03
7.000000000000001e-02,-9.129687994446911e-04,6.094202686351302e-03
8.000000000000000e-02,-9.129687994446911e-04,7.095227184321873e-03
9.000000000000000e-02,-9.129687994446911e-04,8.096251682292888e-03
1.000000000000000e-01,-9.129687994446911e-04,9.097276180263680e-03
1.100000000000000e-01,-9.129687994446911e-04,1.009830067823470e-02
1.200000000000000e-01,-9.129687994446911e-04,1.109932517620527e-02
1.300000000000000e-01,-9.129687994446911e-04,1.210034967417606e-02
1.400000000000000e-01,-9.129687994446911e-04,1.310137417214685e-02
1.500000000000000e-01,-9.129687994446911e-04,1.410239867011764e-02
1.600000000000000e-01,-9.129687994446911e-04,1.510342316808866e-02
1.700000000000000e-01,-9.129687994446911e-04,1.610444766605923e-02
1.800000000000000e-01,-9.129687994446911e-04,1.710547216403024e-02
1.900000000000000e-01,-9.129687994446911e-04,1.810649666200081e-02
2.000000000000000e-01,-9.129687994446911e-04,1.910752115997183e-02
2.100000000000000e-01,-9.129687994446911e-04,2.010854565794262e-02
2.200000000000000e-01,-9.129687994446911e-04,2.110957015591342e-02
2.300000000000000e-01,-9.129687994446911e-04,2.211059465388443e-02
2.400000000000000e-01,-9.129687994446911e-04,2.311161915185478e-02
2.500000000000000e-01,-9.129687994446911e-04,2.411264364982602e-02
2.600000000000000e-01,-9.129687994446911e-04,2.511366814779681e-02
2.700000000000000e-01,-9.129687994446911e-04,2.611469264576738e-02
2.800000000000000e-01,-9.129687994446911e-04,2.711571714373839e-02
2.900000000000000e-01,-9.129687994446911e-04,2.811674164170896e-02
3.000000000000000e-01,-9.129687994446911e-04,2.911776613967998e-02
3.100000000000000e-01,-9.129687994446911e-04,3.011879063765099e-02
3.200000000000000e-01,-9.129687994446911e-04,3.111981513562156e-02
3.300000000000000e-01,-9.129687994446911e-04,3.212083963359236e-02
3.400000000000000e-01,-9.129687994446911e-04,3.312186413156315e-02
3.500000000000000e-01,-9.129687994446911e-04,3.412288862953394e-02
3.600000000000000e-01,-9.129687994446911e-04,3.512391312750496e-02
3.700000000000000e-01,-9.129687994446911e-04,3.612493762547553e-02
3.800000000000000e-01,-1.825937598889604e-03,3.617823323202529e-02
3.900000000000000e-01,-1.825937598889604e-03,3.717834299073375e-02
4.000000000000000e-01,-1.825937598889604e-03,3.817845274944176e-02
4.100000000000000e-01,-1.825937598889604e-03,3.917856250815022e-02
4.200000000000000e-01,-1.825937598889604e-03,4.017867226685845e-02
4.300000000000000e-01,-2.738906398334517e-03,4.022647943783264e-02
4.400000000000000e-01,-2.738906398334517e-03,4.122567445727854e-02
4.500000000000000e-01,-2.738906398334517e-03,4.222486947672444e-02
4.600000000000000e-01,-2.738906398334517e-03,4.322406449617011e-02
4.700000000000000e-01,-2.738906398334517e-03,4.422325951561579e-02
4.800000000000000e-01,-2.738906398334517e-03,4.522245453506146e-02
4.900000000000000e-01,-2.738906398334517e-03,4.622164955450758e-02
5.000000000000000e-01,-2.738906398334517e-03,4.722084457395304e-02
