delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,0.24285,2.428497006523422e-01
-4.900000000000000e-01,2.346329814573380e-01,2.346329814573380e-01
-4.800000000000000e-01,2.264162622623340e-01,2.264162622623340e-01
-4.700000000000000e-01,2.181995430673300e-01,2.181995430673300e-01
-4.600000000000000e-01,2.108957926717707e-01,2.108957926717707e-01
-4.500000000000000e-01,2.035920422762119e-01,2.035920422762119e-01
-4.400000000000000e-01,1.962882918806526e-01,1.962882918806526e-01
-4.300000000000000e-01,1.889845414850937e-01,1.889845414850937e-01
-4.200000000000000e-01,1.825937598889793e-01,1.825937598889793e-01
-4.100000000000000e-01,1.762029782928651e-01,1.762029782928651e-01
-4.000000000000000e-01,1.688992278973060e-01,1.688992278973060e-01
-3.900000000000000e-01,1.634214151006366e-01,1.634214151006366e-01
-3.800000000000000e-01,1.570306335045226e-01,1.570306335045226e-01
-3.700000000000000e-01,1.506398519084082e-01,1.506398519084082e-01
-3.600000000000000e-01,1.451620391117392e-01,1.451620391117392e-01
-3.500000000000000e-01,1.396842263150697e-01,1.396842263150697e-01
-3.400000000000000e-01,1.342064135184002e-01,1.342064135184000e-01
-3.300000000000000e-01,1.287286007217312e-01,1.287286007217312e-01
-3.200000000000000e-01,1.232507879250617e-01,1.232507879250617e-01
-3.100000000000000e-01,1.177729751283922e-01,1.177729751283922e-01
-3.000000000000000e-01,1.132081311311677e-01,1.132081311311677e-01
-2.900000000000000e-01,1.086432871339436e-01,1.086432871339436e-01
-2.800000000000000e-01,1.031654743372741e-01,1.031654743372741e-01
-2.700000000000000e-01,9.860063034004951e-02,9.860063034004951e-02
-2.600000000000000e-01,9.403578634282317e-02,9.403578634282317e-02
-2.500000000000000e-01,8.947094234559883e-02,8.947094234559883e-02
-2.400000000000000e-01,8.490609834837448e-02,8.490609834837448e-02
-2.300000000000000e-01,8.125422315059483e-02,8.125422315059483e-02
-2.200000000000000e-01,7.577641035392535e-02,7.577641035392535e-02
-2.100000000000000e-01,7.212453515614614e-02,7.212453515614614e-02
-2.000000000000000e-01,6.847265995836649e-02,6.847265995836649e-02
-1.900000000000000e-01,6.482078476058684e-02,6.482078476058684e-02
-1.800000000000000e-01,5.934297196391758e-02,5.934297196391758e-02
-1.700000000000000e-01,5.569109676613815e-02,5.569109676613815e-02
-1.600000000000000e-01,5.203922156835850e-02,5.203922156835850e-02
-1.500000000000000e-01,4.838734637057884e-02,4.838734637057884e-02
-1.400000000000000e-01,4.473547117279941e-02,4.473547117279941e-02
-1.300000000000000e-01,4.108359597501998e-02,4.108359597501998e-02
-1.200000000000000e-01,3.743172077724033e-02,3.743172077724033e-02
-1.100000000000000e-01,3.377984557946068e-02,3.377984557946068e-02
-1.000000000000000e-01,3.104093918112616e-02,3.104093918112616e-02
-9.000000000000000e-02,2.830203278279164e-02,2.830203278279164e-02
-8.000000000000000e-02,2.465015758501199e-02,2.465015758501199e-02
-7.000000000000001e-02,2.099828238723234e-02,2.099828238723234e-02
-6.000000000000000e-02,1.734640718945268e-02,1.734640718945268e-02
-5.000000000000000e-02,1.552046959056308e-02,1.552046959056308e-02
-4.000000000000000e-02,1.186859439278365e-02,1.186859439278365e-02
-3.000000000000000e-02,8.216719195003996e-03,8.216719195003996e-03
-2.000000000000000e-02,6.390781596114170e-03,6.390781596114170e-03
-1.000000000000000e-02,2.738906398334517e-03,2.738906398334517e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-2.738906398334517e-03,-2.738906398334628e-03
2.000000000000000e-02,-6.390781596114170e-03,-6.390781596114170e-03
3.000000000000000e-02,-8.216719195003996e-03,-8.216719195003996e-03
4.000000000000000e-02,-1.186859439278365e-02,-1.186859439278365e-02
