delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,-0.170725,-1.707251654961928e-01
-4.900000000000000e-01,-1.670732902984132e-01,-1.670732902984132e-01
-4.800000000000000e-01,-1.625084463011889e-01,-1.625084463011889e-01
-4.700000000000000e-01,-1.588565711034092e-01,-1.588565711034091e-01
-4.600000000000000e-01,-1.542917271061847e-01,-1.542917271061848e-01
-4.500000000000000e-01,-1.506398519084052e-01,-1.506398519084052e-01
-4.400000000000000e-01,-1.469879767106256e-01,-1.469879767106256e-01
-4.300000000000000e-01,-1.433361015128459e-01,-1.433361015128460e-01
-4.200000000000000e-01,-1.396842263150665e-01,-1.396842263150665e-01
-4.100000000000000e-01,-1.360323511172868e-01,-1.360323511172868e-01
-4.000000000000000e-01,-1.323804759195074e-01,-1.323804759195074e-01
-3.900000000000000e-01,-1.287286007217278e-01,-1.287286007217279e-01
-3.800000000000000e-01,-1.250767255239483e-01,-1.250767255239483e-01
-3.700000000000000e-01,-1.214248503261687e-01,-1.214248503261687e-01
-3.600000000000000e-01,-1.177729751283892e-01,-1.177729751283892e-01
-3.500000000000000e-01,-1.141210999306096e-01,-1.141210999306096e-01
-3.400000000000000e-01,-1.104692247328302e-01,-1.104692247328302e-01
-3.300000000000000e-01,-1.068173495350505e-01,-1.068173495350505e-01
-3.200000000000000e-01,-1.031654743372711e-01,-1.031654743372711e-01
-3.100000000000000e-01,-9.951359913949143e-02,-9.951359913949143e-02
-3.000000000000000e-01,-9.586172394171177e-02,-9.586172394171177e-02
-2.900000000000000e-01,-9.220984874393234e-02,-9.220984874393234e-02
-2.800000000000000e-01,-8.855797354615269e-02,-8.855797354615269e-02
-2.700000000000000e-01,-8.581906714781795e-02,-8.581906714781806e-02
-2.600000000000000e-01,-8.216719195003852e-02,-8.216719195003863e-02
-2.500000000000000e-01,-7.942828555170378e-02,-7.942828555170367e-02
-2.400000000000000e-01,-7.577641035392424e-02,-7.577641035392424e-02
-2.300000000000000e-01,-7.212453515614470e-02,-7.212453515614470e-02
-2.200000000000000e-01,-6.847265995836516e-02,-6.847265995836516e-02
-2.100000000000000e-01,-6.573375356003053e-02,-6.573375356003053e-02
