delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,-0.295802,-2.958018910201424e-01
-4.900000000000000e-01,-2.884981406245831e-01,-2.884981406245831e-01
-4.800000000000000e-01,-2.821073590284690e-01,-2.821073590284690e-01
-4.700000000000000e-01,-2.748036086329099e-01,-2.748036086329100e-01
-4.600000000000000e-01,-2.684128270367957e-01,-2.684128270367958e-01
-4.500000000000000e-01,-2.611090766412366e-01,-2.611090766412366e-01
-4.400000000000000e-01,-2.547182950451224e-01,-2.547182950451224e-01
-4.300000000000000e-01,-2.474145446495634e-01,-2.474145446495634e-01
-4.200000000000000e-01,-2.410237630534492e-01,-2.410237630534492e-01
-4.100000000000000e-01,-2.346329814573350e-01,-2.346329814573350e-01
-4.000000000000000e-01,-2.273292310617759e-01,-2.273292310617760e-01
-3.900000000000000e-01,-2.209384494656618e-01,-2.209384494656617e-01
-3.800000000000000e-01,-2.145476678695474e-01,-2.145476678695474e-01
-3.700000000000000e-01,-2.081568862734332e-01,-2.081568862734332e-01
-3.600000000000000e-01,-2.017661046773188e-01,-2.017661046773188e-01
-3.500000000000000e-01,-1.962882918806496e-01,-1.962882918806496e-01
-3.400000000000000e-01,-1.898975102845354e-01,-1.898975102845354e-01
-3.300000000000000e-01,-1.835067286884212e-01,-1.835067286884212e-01
-3.200000000000000e-01,-1.771159470923070e-01,-1.771159470923070e-01
-3.100000000000000e-01,-1.707251654961928e-01,-1.707251654961928e-01
-3.000000000000000e-01,-1.652473526995234e-01,-1.652473526995235e-01
-2.900000000000000e-01,-1.588565711034092e-01,-1.588565711034091e-01
-2.800000000000000e-01,-1.533787583067397e-01,-1.533787583067397e-01
-2.700000000000000e-01,-1.469879767106256e-01,-1.469879767106256e-01
-2.600000000000000e-01,-1.415101639139562e-01,-1.415101639139563e-01
-2.500000000000000e-01,-1.360323511172868e-01,-1.360323511172868e-01
-2.400000000000000e-01,-1.296415695211727e-01,-1.296415695211727e-01
-2.300000000000000e-01,-1.232507879250585e-01,-1.232507879250585e-01
-2.200000000000000e-01,-1.177729751283892e-01,-1.177729751283892e-01
-2.100000000000000e-01,-1.122951623317199e-01,-1.122951623317199e-01
-2.000000000000000e-01,-1.068173495350505e-01,-1.068173495350505e-01
-1.900000000000000e-01,-1.013395367383813e-01,-1.013395367383811e-01
-1.800000000000000e-01,-9.586172394171177e-02,-9.586172394171177e-02
-1.700000000000000e-01,-9.038391114504252e-02,-9.038391114504241e-02
-1.600000000000000e-01,-8.490609834837304e-02,-8.490609834837304e-02
-1.500000000000000e-01,-7.942828555170378e-02,-7.942828555170367e-02
-1.400000000000000e-01,-7.395047275503452e-02,-7.395047275503452e-02
-1.300000000000000e-01,-6.847265995836516e-02,-6.847265995836516e-02
-1.200000000000000e-01,-6.299484716169579e-02,-6.299484716169579e-02
-1.100000000000000e-01,-5.751703436502653e-02,-5.751703436502653e-02
-1.000000000000000e-01,-5.203922156835850e-02,-5.203922156835850e-02
-9.000000000000000e-02,-4.656140877168902e-02,-4.656140877168913e-02
-8.000000000000000e-02,-4.108359597501998e-02,-4.108359597501998e-02
-7.000000000000001e-02,-3.560578317835050e-02,-3.560578317835050e-02
-6.000000000000000e-02,-3.012797038168102e-02,-3.012797038168102e-02
-5.000000000000000e-02,-2.556312638445690e-02,-2.556312638445690e-02
-4.000000000000000e-02,-2.099828238723234e-02,-2.099828238723234e-02
-3.000000000000000e-02,-1.552046959056286e-02,-1.552046959056286e-02
-2.000000000000000e-02,-1.004265679389382e-02,-1.004265679389382e-02
-1.000000000000000e-02,-4.564843997224344e-03,-4.564843997224344e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,4.564843997224344e-03,4.564843997224344e-03
2.000000000000000e-02,1.004265679389382e-02,1.004265679389382e-02
3.000000000000000e-02,1.552046959056308e-02,1.552046959056308e-02
4.000000000000000e-02,1.917234478834251e-02,1.917234478834251e-02
5.000000000000000e-02,2.465015758501199e-02,2.465015758501199e-02
6.000000000000000e-02,3.012797038168125e-02,3.012797038168125e-02
7.000000000000001e-02,3.560578317835050e-02,3.560578317835050e-02
8.000000000000000e-02,3.925765837613016e-02,3.925765837613016e-02
9.000000000000000e-02,4.473547117279941e-02,4.473547117279941e-02
1.000000000000000e-01,4.838734637057884e-02,4.838734637057884e-02
1.100000000000000e-01,5.386515916724832e-02,5.386515916724832e-02
1.200000000000000e-01,5.934297196391758e-02,5.934297196391758e-02
1.300000000000000e-01,6.299484716169701e-02,6.299484716169701e-02
1.400000000000000e-01,6.847265995836649e-02,6.847265995836649e-02
1.500000000000000e-01,7.395047275503575e-02,7.395047275503575e-02
1.600000000000000e-01,7.760234795281518e-02,7.760234795281540e-02
1.700000000000000e-01,8.308016074948466e-02,8.308016074948466e-02
1.800000000000000e-01,8.673203594726431e-02,8.673203594726431e-02
1.900000000000000e-01,9.220984874393334e-02,9.220984874393356e-02
2.000000000000000e-01,9.586172394171300e-02,9.586172394171300e-02
2.100000000000000e-01,1.013395367383825e-01,1.013395367383825e-01
2.200000000000000e-01,1.049914119361621e-01,1.049914119361621e-01
2.300000000000000e-01,1.104692247328314e-01,1.104692247328314e-01
2.400000000000000e-01,1.141210999306108e-01,1.141210999306108e-01
2.500000000000000e-01,1.195989127272803e-01,1.195989127272803e-01
2.600000000000000e-01,1.232507879250599e-01,1.232507879250599e-01
2.700000000000000e-01,1.287286007217294e-01,1.287286007217294e-01
2.800000000000000e-01,1.323804759195089e-01,1.323804759195089e-01
2.900000000000000e-01,1.378582887161781e-01,1.378582887161781e-01
3.000000000000000e-01,1.415101639139578e-01,1.415101639139578e-01
3.100000000000000e-01,1.469879767106270e-01,1.469879767106270e-01
3.200000000000000e-01,1.506398519084065e-01,1.506398519084065e-01
3.300000000000000e-01,1.542917271061861e-01,1.542917271061861e-01
3.400000000000000e-01,1.597695399028556e-01,1.597695399028556e-01
3.500000000000000e-01,1.634214151006348e-01,1.634214151006348e-01
3.600000000000000e-01,1.688992278973043e-01,1.688992278973043e-01
3.700000000000000e-01,1.725511030950839e-01,1.725511030950839e-01
3.800000000000000e-01,1.762029782928634e-01,1.762029782928634e-01
3.900000000000000e-01,1.798548534906428e-01,1.798548534906428e-01
4.000000000000000e-01,1.853326662873123e-01,1.853326662873123e-01
4.100000000000000e-01,1.889845414850919e-01,1.889845414850919e-01
4.200000000000000e-01,1.944623542817610e-01,1.944623542817610e-01
4.300000000000000e-01,1.981142294795406e-01,1.981142294795406e-01
4.400000000000000e-01,2.017661046773203e-01,2.017661046773203e-01
4.500000000000000e-01,2.054179798750997e-01,2.054179798750997e-01
4.600000000000000e-01,2.108957926717689e-01,2.108957926717689e-01
4.700000000000000e-01,2.145476678695486e-01,2.145476678695486e-01
4.800000000000000e-01,2.181995430673282e-01,2.181995430673282e-01
4.900000000000000e-01,2.236773558639977e-01,2.236773558639977e-01
5.000000000000000e-01,2.273292310617772e-01,2.273292310617772e-01
