delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,-0.0246502,-2.465015758501210e-02
-4.900000000000000e-01,-2.465015758501199e-02,-2.465015758501210e-02
-4.800000000000000e-01,-2.465015758501199e-02,-2.465015758501210e-02
-4.700000000000000e-01,-2.282421998612216e-02,-2.282421998612216e-02
-4.600000000000000e-01,-2.282421998612216e-02,-2.282421998612216e-02
-4.500000000000000e-01,-2.282421998612216e-02,-2.282421998612216e-02
-4.400000000000000e-01,-2.282421998612216e-02,-2.282421998612216e-02
-4.300000000000000e-01,-2.282421998612216e-02,-2.282421998612216e-02
-4.200000000000000e-01,-2.191125118667725e-02,-2.191125118667714e-02
-4.100000000000000e-01,-2.099828238723234e-02,-2.099828238723234e-02
-4.000000000000000e-01,-2.099828238723234e-02,-2.099828238723234e-02
-3.900000000000000e-01,-2.099828238723234e-02,-2.099828238723234e-02
-3.800000000000000e-01,-2.099828238723234e-02,-2.099828238723234e-02
-3.700000000000000e-01,-1.917234478834251e-02,-1.917234478834251e-02
-3.600000000000000e-01,-1.917234478834251e-02,-1.917234478834251e-02
-3.500000000000000e-01,-1.917234478834251e-02,-1.917234478834251e-02
-3.400000000000000e-01,-1.917234478834251e-02,-1.917234478834251e-02
-3.300000000000000e-01,-1.825937598889760e-02,-1.825937598889760e-02
-3.200000000000000e-01,-1.734640718945268e-02,-1.734640718945279e-02
-3.100000000000000e-01,-1.734640718945268e-02,-1.734640718945279e-02
-3.000000000000000e-01,-1.734640718945268e-02,-1.734640718945279e-02
-2.900000000000000e-01,-1.643343839000777e-02,-1.643343839000777e-02
-2.800000000000000e-01,-1.552046959056286e-02,-1.552046959056286e-02
-2.700000000000000e-01,-1.552046959056286e-02,-1.552046959056286e-02
-2.600000000000000e-01,-1.552046959056286e-02,-1.552046959056286e-02
-2.500000000000000e-01,-1.552046959056286e-02,-1.552046959056286e-02
-2.400000000000000e-01,-1.369453199167325e-02,-1.369453199167336e-02
-2.300000000000000e-01,-1.369453199167325e-02,-1.369453199167336e-02
-2.200000000000000e-01,-1.369453199167325e-02,-1.369453199167336e-02
-2.100000000000000e-01,-1.278156319222834e-02,-1.278156319222834e-02
-2.000000000000000e-01,-1.186859439278365e-02,-1.186859439278365e-02
-1.900000000000000e-01,-1.186859439278365e-02,-1.186859439278365e-02
-1.800000000000000e-01,-1.095562559333874e-02,-1.095562559333874e-02
-1.700000000000000e-01,-1.004265679389382e-02,-1.004265679389382e-02
-1.600000000000000e-01,-1.004265679389382e-02,-1.004265679389382e-02
-1.500000000000000e-01,-1.004265679389382e-02,-1.004265679389382e-02
-1.400000000000000e-01,-8.216719195003996e-03,-8.216719195003996e-03
-1.300000000000000e-01,-8.216719195003996e-03,-8.216719195003996e-03
-1.200000000000000e-01,-8.216719195003996e-03,-8.216719195003996e-03
-1.100000000000000e-01,-6.390781596114170e-03,-6.390781596114170e-03
-1.000000000000000e-01,-6.390781596114170e-03,-6.390781596114170e-03
-9.000000000000000e-02,-6.390781596114170e-03,-6.390781596114170e-03
-8.000000000000000e-02,-4.564843997224344e-03,-4.564843997224344e-03
-7.000000000000001e-02,-4.564843997224344e-03,-4.564843997224344e-03
-6.000000000000000e-02,-4.564843997224344e-03,-4.564843997224344e-03
-5.000000000000000e-02,-2.738906398334517e-03,-2.738906398334628e-03
-4.000000000000000e-02,-2.738906398334517e-03,-2.738906398334628e-03
-3.000000000000000e-02,-1.825937598889604e-03,-1.825937598889604e-03
-2.000000000000000e-02,-9.129687994446911e-04,-9.129687994446911e-04
-1.000000000000000e-02,-9.129687994446911e-04,-9.129687994446911e-04
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,9.129687994449132e-04,9.129687994449132e-04
2.000000000000000e-02,9.129687994449132e-04,9.129687994449132e-04
3.000000000000000e-02,2.738906398334517e-03,2.738906398334517e-03
4.000000000000000e-02,2.738906398334517e-03,2.738906398334517e-03
5.000000000000000e-02,2.738906398334517e-03,2.738906398334517e-03
6.000000000000000e-02,4.564843997224344e-03,4.564843997224344e-03
7.000000000000001e-02,5.477812796669257e-03,5.477812796669257e-03
8.000000000000000e-02,6.390781596114170e-03,6.390781596114170e-03
9.000000000000000e-02,6.390781596114170e-03,6.390781596114170e-03
1.000000000000000e-01,7.303750395559083e-03,7.303750395559083e-03
1.100000000000000e-01,8.216719195003996e-03,8.216719195003996e-03
1.200000000000000e-01,1.004265679389382e-02,1.004265679389382e-02
1.300000000000000e-01,1.004265679389382e-02,1.004265679389382e-02
1.400000000000000e-01,1.004265679389382e-02,1.004265679389382e-02
1.500000000000000e-01,1.186859439278365e-02,1.186859439278365e-02
1.600000000000000e-01,1.186859439278365e-02,1.186859439278365e-02
1.700000000000000e-01,1.369453199167348e-02,1.369453199167348e-02
1.800000000000000e-01,1.369453199167348e-02,1.369453199167348e-02
1.900000000000000e-01,1.369453199167348e-02,1.369453199167348e-02
2.000000000000000e-01,1.552046959056308e-02,1.552046959056308e-02
2.100000000000000e-01,1.552046959056308e-02,1.552046959056308e-02
2.200000000000000e-01,1.734640718945268e-02,1.734640718945268e-02
2.300000000000000e-01,1.734640718945268e-02,1.734640718945268e-02
2.400000000000000e-01,1.734640718945268e-02,1.734640718945268e-02
2.500000000000000e-01,1.917234478834251e-02,1.917234478834251e-02
2.600000000000000e-01,2.099828238723234e-02,2.099828238723234e-02
2.700000000000000e-01,2.099828238723234e-02,2.099828238723234e-02
2.800000000000000e-01,2.099828238723234e-02,2.099828238723234e-02
2.900000000000000e-01,2.282421998612216e-02,2.282421998612216e-02
3.000000000000000e-01,2.282421998612216e-02,2.282421998612216e-02
3.100000000000000e-01,2.465015758501199e-02,2.465015758501199e-02
3.200000000000000e-01,2.465015758501199e-02,2.465015758501199e-02
3.300000000000000e-01,2.465015758501199e-02,2.465015758501199e-02
3.400000000000000e-01,2.647609518390182e-02,2.647609518390182e-02
3.500000000000000e-01,2.647609518390182e-02,2.647609518390182e-02
3.600000000000000e-01,2.830203278279164e-02,2.830203278279164e-02
3.700000000000000e-01,2.830203278279164e-02,2.830203278279164e-02
3.800000000000000e-01,3.012797038168125e-02,3.012797038168125e-02
3.900000000000000e-01,3.012797038168125e-02,3.012797038168125e-02
4.000000000000000e-01,3.012797038168125e-02,3.012797038168125e-02
4.100000000000000e-01,3.195390798057085e-02,3.195390798057085e-02
4.200000000000000e-01,3.377984557946068e-02,3.377984557946068e-02
4.300000000000000e-01,3.377984557946068e-02,3.377984557946068e-02
4.400000000000000e-01,3.377984557946068e-02,3.377984557946068e-02
4.500000000000000e-01,3.560578317835050e-02,3.560578317835050e-02
4.600000000000000e-01,3.560578317835050e-02,3.560578317835050e-02
4.700000000000000e-01,3.743172077724033e-02,3.743172077724033e-02
4.800000000000000e-01,3.743172077724033e-02,3.743172077724033e-02
4.900000000000000e-01,3.925765837613016e-02,3.925765837613016e-02
5.000000000000000e-01,3.925765837613016e-02,3.925765837613016e-02
